,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
31,compound-32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.029300000000001,61.82,0,2,14,2,0,6,3.109,0.0
254,compound-255,COC(C)(C)C,1.4313,9.23,0,0,6,0,0,1,2.118,0.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,0.0
109,compound-110,Cc1cc(Cl)nc(N)n1,1.02062,51.8,0,1,9,1,1,3,3.008,0.0
25,compound-26,COC(C)=O,0.1793,26.3,0,0,5,0,0,2,2.317,0.0
11,compound-12,C=CCNc1ccccc1,2.2845000000000004,12.03,3,1,10,1,1,1,3.569,0.0
170,compound-171,CN(C)c1ccccc1,1.7526,3.24,1,1,9,1,0,1,3.19,0.0
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,2.4267000000000003,26.02,0,1,12,1,1,1,3.782,0.0
249,compound-250,Oc1cccnc1Br,1.5497,33.120000000000005,0,1,8,1,1,2,2.569,0.0
159,compound-160,CC/C=C\CCO,1.335,20.23,3,0,7,0,1,1,2.42,0.0
175,compound-176,N#Cc1cc(Cl)ccc1N,1.79388,49.81,0,1,10,1,1,2,3.727,0.0
207,compound-208,CCCCCC(C)=O,2.1557000000000004,17.07,4,0,8,0,0,1,2.939,0.0
373,compound-374,OCC(F)(F)F,0.5409999999999999,20.23,0,0,6,0,1,1,2.924,0.0
346,compound-347,COc1ccccc1C(N)=O,0.7941,52.32,2,1,11,1,1,2,3.1,0.0
10,compound-11,Nc1ccc(Br)cn1,1.4263,38.91,0,1,8,1,1,2,2.99,0.0
352,compound-353,COC(=O)c1ccc(O)cc1O,0.8843999999999999,66.76,1,1,12,1,2,4,3.565,0.0
63,compound-64,NCc1ccccc1,1.1453,26.02,1,1,8,1,1,1,3.021,0.0
148,compound-149,CNc1ccc(F)cc1,1.8674,12.03,1,1,9,1,1,1,3.513,0.0
326,compound-327,Cc1ccccc1C#N,1.8667,23.79,0,1,9,1,0,1,3.418,0.0
85,compound-86,CC1(C)O[C@]2(C)CC[C@H]1CC2,2.7441000000000013,9.23,0,0,11,3,0,1,3.18,0.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,0.0
254,compound-255,COC(C)(C)C,1.4313,9.23,0,0,6,0,0,1,2.118,0.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,0.0
260,compound-261,Cc1ccncc1,1.39002,12.89,0,1,7,1,0,1,2.364,0.0
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,1.9139,26.02,0,0,11,4,1,1,3.782,0.0
195,compound-196,Cc1ccc(N)c(Cl)c1,2.23062,26.02,0,1,9,1,1,1,3.596,0.0
3,compound-4,CCOc1ccc(C=O)cc1,1.8978,26.3,3,1,11,1,0,2,3.728,0.0
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,1.9139,26.02,0,0,11,4,1,1,3.782,0.0
280,compound-281,C#C[C@@](C)(O)C(C)C,1.0266,20.23,1,0,8,0,1,1,2.738,0.0
78,compound-79,Nc1ccccc1,1.2688,26.02,0,1,7,1,1,1,2.948,0.0
321,compound-322,O=S(Cc1ccccc1)Cc1ccccc1,3.1355000000000013,17.07,4,2,16,2,0,1,3.459,0.0
25,compound-26,COC(C)=O,0.1793,26.3,0,0,5,0,0,2,2.317,0.0
178,compound-179,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.04915,0.0
83,compound-84,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.5884,0.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,0.0
70,compound-71,CCC#N,0.91998,23.79,0,0,4,0,0,1,1.559,0.0
156,compound-157,COc1ccc(O)cc1,1.4007999999999998,29.46,1,1,9,1,1,2,3.053,0.0
207,compound-208,CCCCCC(C)=O,2.1557000000000004,17.07,4,0,8,0,0,1,2.939,0.0
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,2.4267000000000003,26.02,0,1,12,1,1,1,3.782,0.0
42,compound-43,C[C@@H](O)CN,-0.6741000000000001,46.25,1,0,5,0,2,2,1.474,0.0
300,compound-301,CC(Cl)(Cl)Cl,2.3765,0.0,0,0,5,0,0,0,3.45,0.0
373,compound-374,OCC(F)(F)F,0.5409999999999999,20.23,0,0,6,0,1,1,2.924,0.0
236,compound-237,OC1CCCCC1,1.3114,20.23,0,0,7,1,1,1,2.153,0.0
71,compound-72,CCCOC(C)=O,0.9595,26.3,2,0,7,0,0,2,3.231,0.0
311,compound-312,O=[N+]([O-])c1ccccc1Cl,2.2482000000000006,43.14,1,1,10,1,0,2,3.73,0.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,0.0
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,1.3003999999999998,63.370000000000005,1,1,10,1,1,3,3.492,0.0
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,1.7163999999999997,40.16,12,0,18,0,0,5,2.618,0.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,0.0
133,compound-134,CCCCO,0.7787999999999999,20.23,2,0,5,0,1,1,1.633,0.0
11,compound-12,C=CCNc1ccccc1,2.2845000000000004,12.03,3,1,10,1,1,1,3.569,0.0
168,compound-169,COc1ccc(C(C)=O)c(O)c1,1.6034,46.53,2,1,12,1,1,3,3.379,0.0
248,compound-249,Cc1cccc([N+](=O)[O-])c1,1.90322,43.14,1,1,10,1,0,2,3.728,0.0
263,compound-264,CCOP(=O)(Cc1ccccc1)OCC,3.452700000000002,35.53,6,1,15,1,0,3,2.832,0.0
112,compound-113,CN(C)c1ccccn1,1.1476,16.130000000000003,1,1,9,1,0,2,2.983,0.0
268,compound-269,CCc1ccc(C)nc1,1.95242,12.89,1,1,9,1,0,1,3.174,0.0
148,compound-149,CNc1ccc(F)cc1,1.8674,12.03,1,1,9,1,1,1,3.513,0.0
263,compound-264,CCOP(=O)(Cc1ccccc1)OCC,3.452700000000002,35.53,6,1,15,1,0,3,2.832,0.0
324,compound-325,COc1cc(C=O)ccc1O,1.2133,46.53,2,1,11,1,1,3,3.259,0.0
324,compound-325,COc1cc(C=O)ccc1O,1.2133,46.53,2,1,11,1,1,3,3.259,0.0
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,1.57852,54.86,2,1,14,1,1,3,3.148,0.0
234,compound-235,CC(C)CO,0.6347,20.23,1,0,5,0,1,1,1.714,0.0
6,compound-7,CCCCN(C=O)CCCC,2.045,20.31,7,0,11,0,0,1,3.246,0.0
71,compound-72,CCCOC(C)=O,0.9595,26.3,2,0,7,0,0,2,3.231,0.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,0.0
262,compound-263,O=[N+]([O-])c1ccccc1,1.5948,43.14,1,1,9,1,0,2,3.015,0.0
134,compound-135,CC(C)C(O)C(C)C,1.6593,20.23,2,0,8,0,1,1,2.854,0.0
18,compound-19,ClC(Cl)Cl,1.9864,0.0,0,0,4,0,0,0,3.228,0.0
321,compound-322,O=S(Cc1ccccc1)Cc1ccccc1,3.1355000000000013,17.07,4,2,16,2,0,1,3.459,0.0
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,1.57852,54.86,2,1,14,1,1,3,3.148,0.0
83,compound-84,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.5884,0.0
291,compound-292,c1cc[nH]c1,1.0147,15.79,0,1,5,1,1,0,2.504,0.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,0.0
65,compound-66,Cc1ccccc1F,2.13412,0.0,0,1,8,1,0,0,3.754,0.0
184,compound-185,c1ccncc1,1.0816,12.89,0,1,6,1,0,1,2.9,0.0
346,compound-347,COc1ccccc1C(N)=O,0.7941,52.32,2,1,11,1,1,2,3.1,0.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,0.0
63,compound-64,NCc1ccccc1,1.1453,26.02,1,1,8,1,1,1,3.021,0.0
188,compound-189,Cc1ccc(N)cc1,1.57722,26.02,0,1,8,1,1,1,2.827,0.0
352,compound-353,COC(=O)c1ccc(O)cc1O,0.8843999999999999,66.76,1,1,12,1,2,4,3.565,0.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,0.0
0,compound-1,CCOC(C)=O,0.5694,26.3,1,0,6,0,0,2,2.583,0.0
6,compound-7,CCCCN(C=O)CCCC,2.045,20.31,7,0,11,0,0,1,3.246,0.0
272,compound-273,c1ccc2c(c1)CCO2,1.6215,9.23,0,1,9,2,0,1,3.167,0.0
191,compound-192,C1COCCO1,0.0332,18.46,0,0,6,1,0,2,0.932,0.0
50,compound-51,COc1cccc(O)c1,1.4007999999999998,29.46,1,1,9,1,1,2,3.225,0.0
266,compound-267,Oc1ccccc1,1.3922,20.23,0,1,7,1,1,1,3.46,0.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,0.0
170,compound-171,CN(C)c1ccccc1,1.7526,3.24,1,1,9,1,0,1,3.19,0.0
72,compound-73,BrC[C@@H]1CCCCO1,1.9504,9.23,1,0,8,1,0,1,2.941,0.0
236,compound-237,OC1CCCCC1,1.3114,20.23,0,0,7,1,1,1,2.153,0.0
358,compound-359,C=C(C)C(=O)OCCO,0.098,46.53,3,0,9,0,1,3,2.759,0.0
112,compound-113,CN(C)c1ccccn1,1.1476,16.130000000000003,1,1,9,1,0,2,2.983,0.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,0.0
93,compound-94,CC(C)O,0.3871,20.23,0,0,4,0,1,1,0.842,0.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,0.0
254,compound-255,COC(C)(C)C,1.4313,9.23,0,0,6,0,0,1,2.118,0.0
291,compound-292,c1cc[nH]c1,1.0147,15.79,0,1,5,1,1,0,2.504,0.0
276,compound-277,Cc1ccccc1C=O,1.80752,17.07,1,1,9,1,0,1,3.356,0.0
339,compound-340,Nc1ccc(F)cc1,1.4079000000000002,26.02,0,1,8,1,1,1,3.818,0.0
53,compound-54,O[C@H]1CCCC[C@@H]1c1ccccc1,2.7051000000000007,20.23,1,1,13,2,1,1,3.599,0.0
64,compound-65,C=C(C)C(=O)OC[C@H]1CCCO1,1.2847000000000002,35.53,3,0,12,1,0,3,3.691,0.0
24,compound-25,N#CCCCCC#N,1.59396,47.58,3,0,8,0,0,2,1.75,0.0
317,compound-318,CCCCCCN,1.5254000000000003,26.02,4,0,7,0,1,1,3.253,0.0
133,compound-134,CCCCO,0.7787999999999999,20.23,2,0,5,0,1,1,1.633,0.0
372,compound-373,CCOc1cc(C=O)ccc1O,1.6034,46.53,3,1,12,1,1,3,3.278,0.0
164,compound-165,Nc1ccc(O)c([N+](=O)[O-])c1,0.8826,89.39,1,1,11,1,2,4,3.629,0.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,0.0
119,compound-120,CCCCBr,2.1814,0.0,2,0,5,0,0,0,3.572,0.0
337,compound-338,CC(C)(C)CC(C)(C)N,2.1599000000000004,26.02,1,0,9,0,1,1,3.721,0.0
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,1.3003999999999998,63.370000000000005,1,1,10,1,1,3,3.492,0.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,0.0
370,compound-371,ClCC(Cl)CCl,2.0714,0.0,2,0,6,0,0,0,3.408,0.0
260,compound-261,Cc1ccncc1,1.39002,12.89,0,1,7,1,0,1,2.364,0.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,0.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,0.0
198,compound-199,Cc1cocn1,0.98302,26.03,0,1,6,1,0,2,1.777,0.0
78,compound-79,Nc1ccccc1,1.2688,26.02,0,1,7,1,1,1,2.948,0.0
159,compound-160,CC/C=C\CCO,1.335,20.23,3,0,7,0,1,1,2.42,0.0
56,compound-57,CCCCCCO,1.559,20.23,4,0,7,0,1,1,3.02,0.0
137,compound-138,C[C@@H](O)CCl,0.6060000000000001,20.23,1,0,5,0,1,1,2.586,0.0
245,compound-246,c1ccc(CC2=NCCN2)cc1,1.2308,24.39,2,1,12,2,1,2,2.745,0.0
175,compound-176,N#Cc1cc(Cl)ccc1N,1.79388,49.81,0,1,10,1,1,2,3.727,0.0
248,compound-249,Cc1cccc([N+](=O)[O-])c1,1.90322,43.14,1,1,10,1,0,2,3.728,0.0
230,compound-231,CC(C)(O)C(F)(F)C(F)F,1.6577,20.23,2,0,10,0,1,1,2.439,0.0
50,compound-51,COc1cccc(O)c1,1.4007999999999998,29.46,1,1,9,1,1,2,3.225,0.0
230,compound-231,CC(C)(O)C(F)(F)C(F)F,1.6577,20.23,2,0,10,0,1,1,2.439,0.0
216,compound-217,CC(=O)C(C)(C)C,1.6215,17.07,0,0,7,0,0,1,3.061,0.0
2,compound-3,CCCCC(=O)CCCC,2.935900000000001,17.07,6,0,10,0,0,1,3.662,0.0
191,compound-192,C1COCCO1,0.0332,18.46,0,0,6,1,0,2,0.932,0.0
304,compound-305,CCC(C)=O,0.9854,17.07,1,0,5,0,0,1,1.35,0.0
266,compound-267,Oc1ccccc1,1.3922,20.23,0,1,7,1,1,1,3.46,0.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,0.0
328,compound-329,OCCN(CCO)c1ccccc1,0.4775999999999998,43.7,5,1,13,1,2,3,2.392,0.0
88,compound-89,CC(C)N(CCO)C(C)C,1.0975,23.47,4,0,10,0,1,2,2.859,0.0
346,compound-347,COc1ccccc1C(N)=O,0.7941,52.32,2,1,11,1,1,2,3.1,0.0
293,compound-294,C#CC[C@H](C)O,0.3905,20.23,1,0,6,0,1,1,3.38,0.0
104,compound-105,O=[N+]([O-])c1ccc(F)cc1,1.7338999999999998,43.14,1,1,10,1,0,2,3.696,0.0
219,compound-220,C=CC[C@H](O)C=C,1.1094,20.23,3,0,7,0,1,1,3.411,0.0
317,compound-318,CCCCCCN,1.5254000000000003,26.02,4,0,7,0,1,1,3.253,0.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,0.0
359,compound-360,COc1ccc(C(C)=O)c(OC)c1OC,1.915,44.760000000000005,4,1,15,1,0,4,3.024,0.0
210,compound-211,Oc1cccnc1Cl,1.4406,33.120000000000005,0,1,8,1,1,2,2.319,0.0
224,compound-225,O=C(c1ccccc1)c1ccccc1,2.917600000000001,17.07,2,2,14,2,0,1,4.093,1.0
368,compound-369,Brc1ccccc1Br,3.2116000000000007,0.0,0,1,8,1,0,0,4.764,1.0
204,compound-205,CCCCCCBr,2.9616000000000016,0.0,4,0,7,0,0,0,4.68,1.0
32,compound-33,Brc1ccsc1,2.5106,0.0,0,1,6,1,0,1,4.421,1.0
228,compound-229,CCCCCCCCCN,2.6957000000000013,26.02,7,0,10,0,1,1,4.822,1.0
154,compound-155,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,3.600400000000003,52.60000000000001,8,1,20,1,0,4,5.674,1.0
45,compound-46,Oc1c(I)cc(I)cc1I,3.2060000000000004,20.23,0,1,10,1,1,1,5.591,1.0
224,compound-225,O=C(c1ccccc1)c1ccccc1,2.917600000000001,17.07,2,2,14,2,0,1,4.093,1.0
256,compound-257,Nc1ccc(Cl)c(Cl)c1Cl,3.229,26.02,0,1,10,1,1,1,4.733,1.0
160,compound-161,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.81142,86.28,2,1,13,1,0,4,3.876,1.0
193,compound-194,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1.77922,41.57,2,1,15,1,1,3,5.029,1.0
247,compound-248,C=C[C@@H](Cl)CCl,2.0186,0.0,2,0,6,0,0,0,4.184,1.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,1.0
225,compound-226,CCOC(=O)c1ccccc1C(=O)OCC,2.04,52.60000000000001,4,1,16,1,0,4,3.845,1.0
310,compound-311,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,2.3192000000000004,63.370000000000005,1,1,14,1,1,3,4.355,1.0
275,compound-276,Oc1ccccc1Cl,2.0456,20.23,0,1,8,1,1,1,4.052,1.0
308,compound-309,CN(C)c1ccc(/C=C/C=O)cc1,1.9647,20.31,3,1,13,1,0,2,4.473,1.0
120,compound-121,O=Cc1ccccc1F,1.6382,17.07,1,1,9,1,0,1,4.964,1.0
5,compound-6,Cc1c[nH]c2ccccc12,2.4763200000000003,15.79,0,2,10,2,1,0,4.171,1.0
193,compound-194,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1.77922,41.57,2,1,15,1,1,3,5.029,1.0
325,compound-326,CCCCCCCCO,2.3392,20.23,6,0,9,0,1,1,3.983,1.0
90,compound-91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,3.8824,26.02,0,1,11,1,1,1,5.932,1.0
274,compound-275,O=C(c1ccc(Br)cc1)c1cccnc1,3.0751000000000017,29.96,2,2,15,2,0,2,4.109,1.0
45,compound-46,Oc1c(I)cc(I)cc1I,3.2060000000000004,20.23,0,1,10,1,1,1,5.591,1.0
330,compound-331,CC(C)c1ccc(C=O)cc1,2.6225000000000005,17.07,2,1,11,1,0,1,4.35,1.0
127,compound-128,Cl[C@@H]1CCCC[C@H]1Cl,2.7752000000000008,0.0,0,0,8,1,0,0,3.92,1.0
46,compound-47,CNC(=O)Oc1ccc(C(C)(C)C)cc1,2.702300000000001,38.33,1,1,15,1,1,2,4.317,1.0
197,compound-198,CCc1ccc(O)cc1,1.9546,20.23,1,1,9,1,1,1,4.07,1.0
113,compound-114,c1ccc2occc2c1,2.4328000000000003,13.14,0,2,9,2,0,1,3.924,1.0
128,compound-129,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,3.1003000000000016,44.760000000000005,7,1,18,1,0,5,3.854,1.0
345,compound-346,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,2.997200000000002,38.77,3,1,21,3,0,3,4.561,1.0
32,compound-33,Brc1ccsc1,2.5106,0.0,0,1,6,1,0,1,4.421,1.0
357,compound-358,CCCCC=O,1.3755,17.07,3,0,6,0,0,1,3.824,1.0
117,compound-118,Cc1cc(O)ccc1Cl,2.35402,20.23,0,1,9,1,1,1,4.416,1.0
229,compound-230,Cc1ccc(O)c(C)c1,2.00904,20.23,0,1,9,1,1,1,3.866,1.0
122,compound-123,Cc1cc(C)c(O)c(C)c1,2.3174600000000005,20.23,0,1,10,1,1,1,4.02,1.0
144,compound-145,CCOC(=O)c1ccccc1O,1.5689,46.53,2,1,12,1,1,3,3.914,1.0
275,compound-276,Oc1ccccc1Cl,2.0456,20.23,0,1,8,1,1,1,4.052,1.0
117,compound-118,Cc1cc(O)ccc1Cl,2.35402,20.23,0,1,9,1,1,1,4.416,1.0
284,compound-285,Oc1c(Cl)cc(Cl)cc1Cl,3.3524000000000003,20.23,0,1,10,1,1,1,4.606,1.0
45,compound-46,Oc1c(I)cc(I)cc1I,3.2060000000000004,20.23,0,1,10,1,1,1,5.591,1.0
155,compound-156,CCCCCCOC(C)=O,2.1298000000000004,26.3,5,0,10,0,0,2,4.516,1.0
342,compound-343,O=Cc1ccc(Cl)cc1Cl,2.805900000000001,17.07,1,1,10,1,0,1,4.988,1.0
38,compound-39,Oc1c(Br)cc(Br)cc1Br,3.6797,20.23,0,1,10,1,1,1,4.703,1.0
277,compound-278,C=Cc1ccccc1,2.3296,0.0,1,1,8,1,0,0,4.41,1.0
197,compound-198,CCc1ccc(O)cc1,1.9546,20.23,1,1,9,1,1,1,4.07,1.0
130,compound-131,Clc1ccccc1Cl,2.9934000000000003,0.0,0,1,8,1,0,0,4.191,1.0
27,compound-28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,4.396300000000004,20.23,7,0,16,0,1,1,5.192,1.0
20,compound-21,CCCSSCCC,3.187800000000002,0.0,5,0,8,0,0,2,4.759,1.0
199,compound-200,C=CCc1ccccc1O,2.1207,20.23,2,1,10,1,1,1,3.951,1.0
120,compound-121,O=Cc1ccccc1F,1.6382,17.07,1,1,9,1,0,1,4.964,1.0
274,compound-275,O=C(c1ccc(Br)cc1)c1cccnc1,3.0751000000000017,29.96,2,2,15,2,0,2,4.109,1.0
181,compound-182,CNC(=O)Oc1cccc2ccccc12,2.558,38.33,1,2,15,2,1,2,4.362,1.0
203,compound-204,c1ccc(SSc2ccccc2)cc1,4.486000000000002,0.0,3,2,14,2,0,2,6.298,1.0
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,1.0
350,compound-351,CCCCCCCCCCCC(C)=O,4.496300000000004,17.07,10,0,14,0,0,1,5.742,1.0
19,compound-20,COc1ccc(C=O)c(OC)c1,1.5162999999999998,35.53,3,1,12,1,0,3,3.917,1.0
357,compound-358,CCCCC=O,1.3755,17.07,3,0,6,0,0,1,3.824,1.0
86,compound-87,CCCCCC[C@H]1CCC(=O)O1,2.6624000000000008,26.3,5,0,12,1,0,2,3.976,1.0
172,compound-173,C#C[C@H](O)CCCC,1.1707,20.23,3,0,8,0,1,1,4.804,1.0
338,compound-339,O=C(Oc1ccccc1)c1ccccc1O,2.6114000000000006,46.53,2,2,16,2,1,3,5.259,1.0
115,compound-116,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.0852,112.3,2,1,13,1,1,5,4.092,1.0
225,compound-226,CCOC(=O)c1ccccc1C(=O)OCC,2.04,52.60000000000001,4,1,16,1,0,4,3.845,1.0
277,compound-278,C=Cc1ccccc1,2.3296,0.0,1,1,8,1,0,0,4.41,1.0
5,compound-6,Cc1c[nH]c2ccccc12,2.4763200000000003,15.79,0,2,10,2,1,0,4.171,1.0
282,compound-283,CN1CCC[C@@H]1c1cccnc1.CN1CCC[C@@H]1c1cccnc1.O=S(=O)(O)O,3.043800000000001,106.86,2,2,29,4,2,6,4.486,1.0
