,compound_id,smiles,pLC50,MolLogP,LabuteASA,ExactMolWt,MolWt,HeavyAtomMolWt,MolMR,Chi0v,Chi0,HeavyAtomCount,toxicity_category,toxicity_numeric
116,Compound 117,CCOC(CN(C)CC(OCC)OCC)OCC,2.618,1.7163999999999997,111.33257098881973,263.209658408,263.378,234.146,71.57700000000007,12.477547982853949,13.803118619434356,18,Practically non-toxic,1
141,Compound 142,CCC(C)(O)CC,2.182,1.5574,45.35819535200859,102.104465068,102.177,88.06499999999998,31.205799999999986,5.361427157873052,5.914213562373095,7,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,121.052763844,121.13899999999995,114.08299999999996,34.95990000000001,4.872349905601618,6.69023444431199,9,Practically non-toxic,1
245,Compound 246,c1ccc(CC2=NCCN2)cc1,2.745,1.2308,72.33052509302233,160.100048384,160.22,148.12399999999997,50.450700000000026,6.955285285007731,8.22576835024473,12,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,100.088815004,100.161,88.06499999999998,29.091799999999985,4.5600977706223205,5.112884175122364,7,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
133,Compound 134,CCCCO,1.633,0.7787999999999999,32.62831112321538,74.07316494,74.123,64.04299999999999,21.9938,3.5685339390596003,4.121320343559642,5,Practically non-toxic,1
296,Compound 297,COCCN,2.156,-0.4084999999999998,31.922571183142363,75.068413908,75.11099999999999,66.039,20.9304,3.399812122026584,4.121320343559643,5,Practically non-toxic,1
233,Compound 234,CC(=O)C(C)C,2.0,1.2314,38.36054158545974,86.07316494,86.134,76.05399999999999,25.518999999999988,4.485598559653489,5.154700538379252,6,Practically non-toxic,1
84,Compound 85,NC(=O)C(Cl)Cl,2.725,0.2754,45.21213839304599,126.959169076,127.958,124.934,24.6884,4.3307356668984776,5.154700538379252,6,Practically non-toxic,1
192,Compound 193,N#Cc1ccccn1,2.157,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
234,Compound 235,CC(C)CO,1.714,0.6347,32.62831112321538,74.07316494,74.123,64.04299999999999,21.9238,3.731670645876131,4.284457050376173,5,Practically non-toxic,1
167,Compound 168,C#C[C@](C)(O)CC,1.906,0.7806,44.35742074386786,98.07316494,98.145,88.06499999999998,29.747799999999987,4.731670645876131,5.914213562373095,7,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,100.088815004,100.161,88.06499999999998,29.091799999999985,4.5600977706223205,5.112884175122364,7,Practically non-toxic,1
333,Compound 334,CCNCCO,1.78,-0.4118000000000001,38.17817330682343,89.084063972,89.138,78.05,25.62949999999999,4.0685339390596,4.82842712474619,6,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
188,Compound 189,Cc1ccc(N)cc1,2.827,1.57722,49.13623593090629,107.073499288,107.156,98.08399999999996,35.59140000000001,4.886751345948129,5.983127663125442,8,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
196,Compound 197,C#CCN(CC#C)CC#C,2.647,0.1880000000000001,62.4162977887836,131.073499288,131.178,122.10599999999998,42.939000000000014,5.800584746628479,7.819990956308912,10,Practically non-toxic,1
213,Compound 214,C[C@@H](O)CC(C)(C)O,1.043,0.5282,50.15242910420461,118.099379688,118.17599999999996,104.06399999999998,32.59559999999998,5.678884241376089,6.784457050376173,8,Practically non-toxic,1
245,Compound 246,c1ccc(CC2=NCCN2)cc1,2.745,1.2308,72.33052509302233,160.100048384,160.22,148.12399999999997,50.450700000000026,6.955285285007731,8.22576835024473,12,Practically non-toxic,1
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,97.969005488,98.96,94.928,21.44,3.682000400428458,3.414213562373095,4,Practically non-toxic,1
196,Compound 197,C#CCN(CC#C)CC#C,2.647,0.1880000000000001,62.4162977887836,131.073499288,131.178,122.10599999999998,42.939000000000014,5.800584746628479,7.819990956308912,10,Practically non-toxic,1
24,Compound 25,N#CCCCCC#N,1.75,1.59396,49.34912096275002,108.068748256,108.144,100.07999999999998,29.69399999999999,4.7228543157461065,6.242640687119286,8,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
288,Compound 289,CC(=O)c1cccn1C,2.895,1.2277,54.10688347034018,123.068413908,123.15499999999996,114.08299999999998,35.4175,5.587512693532698,6.8533711511285205,9,Practically non-toxic,1
143,Compound 144,CCOCC,1.462,1.0428000000000002,32.94762260052625,74.07316494,74.12299999999999,64.04299999999999,22.166999999999994,3.822461852836958,4.121320343559642,5,Practically non-toxic,1
78,Compound 79,Nc1ccccc1,2.948,1.2688,42.77129381650968,93.057849224,93.129,86.07299999999998,30.8544,3.9641016151377535,5.112884175122364,7,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,171.96361026,173.01300000000003,167.97299999999998,36.3494,5.720575684382393,5.983127663125442,8,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,100.088815004,100.161,88.06499999999998,29.091799999999985,4.5600977706223205,5.112884175122364,7,Practically non-toxic,1
59,Compound 60,CC#N,1.398,0.52988,19.496772823694872,41.026549096,41.053,38.029,11.287,1.9472135954999577,2.7071067811865475,3,Practically non-toxic,1
28,Compound 29,NC(=O)c1ccccc1N,2.537,0.3676999999999998,58.63764872796276,136.063662876,136.154,128.08999999999995,39.37230000000001,5.372349905601618,7.560477932315068,10,Practically non-toxic,1
207,Compound 208,CCCCCC(C)=O,2.939,2.1557000000000004,51.09042581425295,114.104465068,114.188,100.07599999999998,34.822999999999986,5.736675415210053,6.405777393935816,8,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,121.052763844,121.13899999999995,114.08299999999996,34.95990000000001,4.872349905601618,6.69023444431199,9,Practically non-toxic,1
361,Compound 362,CCc1ccccn1,2.413,1.644,49.38093532923668,107.073499288,107.156,98.08399999999996,33.614999999999995,4.963721453445009,5.819990956308911,8,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,100.088815004,100.161,88.06499999999998,29.091799999999985,4.5600977706223205,5.112884175122364,7,Practically non-toxic,1
271,Compound 272,CCC(=O)CC,1.747,1.3755,38.36054158545974,86.07316494,86.134,76.05399999999999,25.588999999999988,4.322461852836958,4.99156383156272,6,Practically non-toxic,1
178,Compound 179,N#Cc1ccccn1,2.04915,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,74.036779432,74.079,68.03099999999999,17.689999999999998,3.3164965809277263,4.284457050376173,5,Practically non-toxic,1
188,Compound 189,Cc1ccc(N)cc1,2.827,1.57722,49.13623593090629,107.073499288,107.156,98.08399999999996,35.59140000000001,4.886751345948129,5.983127663125442,8,Practically non-toxic,1
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,83.953355424,84.93299999999999,82.917,16.573,2.974893619241911,2.7071067811865475,3,Practically non-toxic,1
307,Compound 308,CC(=O)OC(C)(C)C,2.551,1.348,49.83902892936323,116.083729624,116.15999999999998,104.06399999999998,31.518999999999984,5.816496580927726,6.784457050376173,8,Practically non-toxic,1
355,Compound 356,CC(C)OC(C)C,2.114,1.8198,45.67750682931947,102.104465068,102.17699999999998,88.06499999999998,31.35699999999997,5.562948828843115,5.861807319565799,7,Practically non-toxic,1
136,Compound 137,CC1(C)CCC(C)(C)O1,2.883,2.354,57.40155990458345,128.120115132,128.21499999999995,112.08699999999996,38.477,6.822461852836958,7.121320343559643,9,Practically non-toxic,1
194,Compound 195,CC/C=C/CCO,2.568,1.335,44.66859231982434,100.088815004,100.161,88.06499999999998,31.133799999999987,4.723234477438852,5.535533905932738,7,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,171.96361026,173.01300000000003,167.97299999999998,36.3494,5.720575684382393,5.983127663125442,8,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,121.052763844,121.13899999999995,114.08299999999996,34.95990000000001,4.872349905601618,6.69023444431199,9,Practically non-toxic,1
17,Compound 18,Cc1cc(C)c(C#N)c(O)n1,2.975,1.27572,64.93269087729801,148.063662876,148.165,140.10099999999997,40.09080000000002,6.4189910556895,8.430721420318147,11,Practically non-toxic,1
210,Compound 211,Oc1cccnc1Cl,2.319,1.4406,51.74855107952116,128.998141428,129.546,125.514,30.911799999999992,4.760371417596475,5.983127663125442,8,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,171.96361026,173.01300000000003,167.97299999999998,36.3494,5.720575684382393,5.983127663125442,8,Practically non-toxic,1
210,Compound 211,Oc1cccnc1Cl,2.319,1.4406,51.74855107952116,128.998141428,129.546,125.514,30.911799999999992,4.760371417596475,5.983127663125442,8,Practically non-toxic,1
244,Compound 245,C1CCOC1,1.523,0.7968000000000001,31.941791446997023,72.057514876,72.107,64.04299999999999,20.053,3.236675415210053,3.5355339059327378,5,Practically non-toxic,1
78,Compound 79,Nc1ccccc1,2.948,1.2688,42.77129381650968,93.057849224,93.129,86.07299999999998,30.8544,3.9641016151377535,5.112884175122364,7,Practically non-toxic,1
178,Compound 179,N#Cc1ccccn1,2.04915,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
134,Compound 135,CC(C)C(O)C(C)C,2.854,1.6593,51.723137466405205,116.120115132,116.20399999999998,100.07599999999998,35.68279999999999,6.179264403068836,6.732050807568877,8,Practically non-toxic,1
289,Compound 290,CCCCN,2.437,0.7452000000000001,33.17396806803209,73.08914935199999,73.139,62.05099999999999,23.96239999999999,3.698670612749268,4.121320343559642,5,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
59,Compound 60,CC#N,1.398,0.52988,19.496772823694872,41.026549096,41.053,38.029,11.287,1.9472135954999577,2.7071067811865475,3,Practically non-toxic,1
191,Compound 192,C1COCCO1,0.932,0.0332,37.05533667650391,88.052429496,88.106,80.042,21.637999999999995,3.644923705673916,4.242640687119286,6,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic,1
280,Compound 281,C#C[C@@](C)(O)C(C)C,2.738,1.0266,50.72236285826448,112.088815004,112.17199999999998,100.07599999999998,34.294799999999995,5.601914133879209,6.784457050376174,8,Practically non-toxic,1
307,Compound 308,CC(=O)OC(C)(C)C,2.551,1.348,49.83902892936323,116.083729624,116.15999999999998,104.06399999999998,31.518999999999984,5.816496580927726,6.784457050376173,8,Practically non-toxic,1
373,Compound 374,OCC(F)(F)F,2.924,0.5409999999999999,32.39503310320087,100.013599376,100.039,97.015,13.1408,2.788213795714187,5.207106781186548,6,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
146,Compound 147,C1OCOCO1,1.18,-0.0776999999999999,35.80393979161418,90.03169405199999,90.078,84.02999999999999,17.855999999999998,3.346065214951232,4.242640687119286,6,Practically non-toxic,1
364,Compound 365,CC(=O)c1ccccc1,2.87,1.8892,54.32280944833394,120.057514876,120.15099999999995,112.08699999999996,36.44650000000001,5.294999636411992,6.69023444431199,9,Practically non-toxic,1
333,Compound 334,CCNCCO,1.78,-0.4118000000000001,38.17817330682343,89.084063972,89.138,78.05,25.62949999999999,4.0685339390596,4.82842712474619,6,Practically non-toxic,1
358,Compound 359,C=C(C)C(=O)OCCO,2.759,0.098,53.943659649374986,130.06299418,130.14299999999997,120.06299999999996,32.85879999999999,5.385030519987327,7.276020881938894,9,Practically non-toxic,1
207,Compound 208,CCCCCC(C)=O,2.939,2.1557000000000004,51.09042581425295,114.104465068,114.188,100.07599999999998,34.822999999999986,5.736675415210053,6.405777393935816,8,Practically non-toxic,1
93,Compound 94,CC(C)O,0.842,0.3871,26.263369008818778,60.057514876,60.096,52.032,17.3548,3.024563864689584,3.5773502691896257,4,Practically non-toxic,1
100,Compound 101,CCCN,2.283,0.3551000000000002,26.809025953635484,59.073499288,59.112,50.03999999999999,19.3454,2.9915638315627207,3.414213562373095,4,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,100.088815004,100.161,88.06499999999998,29.091799999999985,4.5600977706223205,5.112884175122364,7,Practically non-toxic,1
159,Compound 160,CC/C=C\CCO,2.42,1.335,44.66859231982434,100.088815004,100.161,88.06499999999998,31.133799999999987,4.723234477438852,5.535533905932738,7,Practically non-toxic,1
114,Compound 115,ClCCN1CCCC1,2.941,1.321,55.6212303433684,133.065827064,133.622,121.52599999999998,36.394,5.823747701646925,5.819990956308912,8,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic,1
179,Compound 180,Cc1ccccn1,2.016,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic,1
249,Compound 250,Oc1cccnc1Br,2.569,1.5497,55.312832458280845,172.947625848,173.997,169.96499999999995,33.6018,5.590439010692724,5.983127663125442,8,Practically non-toxic,1
271,Compound 272,CCC(=O)CC,1.747,1.3755,38.36054158545974,86.07316494,86.134,76.05399999999999,25.588999999999988,4.322461852836958,4.99156383156272,6,Practically non-toxic,1
28,Compound 29,NC(=O)c1ccccc1N,2.537,0.3676999999999998,58.63764872796276,136.063662876,136.154,128.08999999999995,39.37230000000001,5.372349905601618,7.560477932315068,10,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,121.052763844,121.13899999999998,114.08299999999998,34.2415,5.164862962722324,6.69023444431199,9,Practically non-toxic,1
0,Compound 1,CCOC(C)=O,2.583,0.5694,37.10914470057002,88.052429496,88.106,80.04199999999999,22.30699999999999,4.023603362114274,4.99156383156272,6,Practically non-toxic,1
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,74.036779432,74.079,68.03099999999999,17.689999999999998,3.3164965809277263,4.284457050376173,5,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,121.052763844,121.13899999999998,114.08299999999998,34.2415,5.164862962722324,6.69023444431199,9,Practically non-toxic,1
244,Compound 245,C1CCOC1,1.523,0.7968000000000001,31.941791446997023,72.057514876,72.107,64.04299999999999,20.053,3.236675415210053,3.5355339059327378,5,Practically non-toxic,1
39,Compound 40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.681,0.7003999999999997,98.1995153196948,232.084792244,232.239,220.143,60.09240000000002,9.318602998526268,12.466255326250886,17,Practically non-toxic,1
355,Compound 356,CC(C)OC(C)C,2.114,1.8198,45.67750682931947,102.104465068,102.17699999999998,88.06499999999998,31.35699999999997,5.562948828843115,5.861807319565799,7,Practically non-toxic,1
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,74.036779432,74.079,68.03099999999999,17.689999999999998,3.3164965809277263,4.284457050376173,5,Practically non-toxic,1
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,83.953355424,84.93299999999999,82.917,16.573,2.974893619241911,2.7071067811865475,3,Practically non-toxic,1
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,83.953355424,84.93299999999999,82.917,16.573,2.974893619241911,2.7071067811865475,3,Practically non-toxic,1
133,Compound 134,CCCCO,1.633,0.7787999999999999,32.62831112321538,74.07316494,74.123,64.04299999999999,21.9938,3.5685339390596003,4.121320343559642,5,Practically non-toxic,1
15,Compound 16,CC(C)[C@H](C)N,2.487,0.9895999999999998,39.53891018242869,87.10479941599999,87.166,74.06199999999998,28.487399999999987,4.732050807568877,5.154700538379252,6,Practically non-toxic,1
159,Compound 160,CC/C=C\CCO,2.42,1.335,44.66859231982434,100.088815004,100.161,88.06499999999998,31.133799999999987,4.723234477438852,5.535533905932738,7,Practically non-toxic,1
112,Compound 113,CN(C)c1ccccn1,2.983,1.1476,55.14076899944005,122.08439832,122.171,112.09099999999998,38.56400000000001,5.70382826775842,6.69023444431199,9,Practically non-toxic,1
24,Compound 25,N#CCCCCC#N,1.75,1.59396,49.34912096275002,108.068748256,108.144,100.07999999999998,29.69399999999999,4.7228543157461065,6.242640687119286,8,Practically non-toxic,1
288,Compound 289,CC(=O)c1cccn1C,2.895,1.2277,54.10688347034018,123.068413908,123.15499999999996,114.08299999999998,35.4175,5.587512693532698,6.8533711511285205,9,Practically non-toxic,1
280,Compound 281,C#C[C@@](C)(O)C(C)C,2.738,1.0266,50.72236285826448,112.088815004,112.17199999999998,100.07599999999998,34.294799999999995,5.601914133879209,6.784457050376174,8,Practically non-toxic,1
42,Compound 43,C[C@@H](O)CN,1.474,-0.6741000000000001,31.60325970583149,75.068413908,75.11099999999999,66.039,20.7352,3.309020915065757,4.284457050376173,5,Practically non-toxic,1
134,Compound 135,CC(C)C(O)C(C)C,2.854,1.6593,51.723137466405205,116.120115132,116.20399999999998,100.07599999999998,35.68279999999999,6.179264403068836,6.732050807568877,8,Practically non-toxic,1
133,Compound 134,CCCCO,1.633,0.7787999999999999,32.62831112321538,74.07316494,74.123,64.04299999999999,21.9938,3.5685339390596003,4.121320343559642,5,Practically non-toxic,1
191,Compound 192,C1COCCO1,0.932,0.0332,37.05533667650391,88.052429496,88.106,80.042,21.637999999999995,3.644923705673916,4.242640687119286,6,Practically non-toxic,1
88,Compound 89,CC(C)N(CCO)C(C)C,2.859,1.0975,63.84791325100517,145.146664228,145.24599999999995,126.09399999999998,44.063800000000015,7.463341291752263,8.146264369941973,10,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,78.013935812,78.136,72.088,19.9904,3.632993161855452,3.5773502691896257,4,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,121.052763844,121.13899999999998,114.08299999999998,34.2415,5.164862962722324,6.69023444431199,9,Practically non-toxic,1
137,Compound 138,C[C@@H](O)CCl,2.586,0.6060000000000001,36.566635235700446,94.018542524,94.541,87.485,22.4008,3.865564064903813,4.284457050376173,5,Practically non-toxic,1
178,Compound 179,N#Cc1ccccn1,2.04915,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
369,Compound 370,OC(C(F)(F)F)C(F)(F)F,2.839,1.4718999999999995,51.25658142637619,168.000984004,168.03599999999997,166.01999999999998,18.1168,4.292350702744947,8.577350269189626,10,Practically non-toxic,1
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,83.953355424,84.93299999999999,82.917,16.573,2.974893619241911,2.7071067811865475,3,Practically non-toxic,1
249,Compound 250,Oc1cccnc1Br,2.569,1.5497,55.312832458280845,172.947625848,173.997,169.96499999999995,33.6018,5.590439010692724,5.983127663125442,8,Practically non-toxic,1
188,Compound 189,Cc1ccc(N)cc1,2.827,1.57722,49.13623593090629,107.073499288,107.156,98.08399999999996,35.59140000000001,4.886751345948129,5.983127663125442,8,Practically non-toxic,1
316,Compound 317,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,3.2994,1.2086000000000003,71.53158831669258,184.012021228,184.107,180.075,41.41560000000001,6.206684755924204,10.008071689507773,13,Slightly toxic,2
144,Compound 145,CCOC(=O)c1ccccc1O,3.914,1.5689,70.59553054443343,166.06299418,166.176,156.09599999999998,44.06330000000003,6.780218034372737,8.974691494688164,12,Slightly toxic,2
273,Compound 274,Nc1ccc([N+](=O)[O-])cc1Cl,3.934,1.8304,67.72753576589116,172.00395508,172.571,167.53099999999998,42.518800000000006,6.207004672213869,8.430721420318147,11,Slightly toxic,2
41,Compound 42,C#CCCO,3.288,0.002,31.627536515074656,70.041864812,70.091,64.04299999999999,20.535799999999995,2.9387774270626785,4.121320343559642,5,Slightly toxic,2
324,Compound 325,COc1cc(C=O)ccc1O,3.259,1.2133,64.23058843003683,152.047344116,152.14899999999997,144.08499999999998,40.046300000000016,6.073111253186188,8.267584713501616,11,Slightly toxic,2
199,Compound 200,C=CCc1ccccc1O,3.951,2.1207,60.63086018269854,134.07316494,134.178,124.09799999999996,42.00780000000002,5.7481785038211815,7.397341225498538,10,Slightly toxic,2
170,Compound 171,CN(C)c1ccccc1,3.19,1.7526,55.92112101849354,121.089149352,121.18299999999998,110.09499999999996,40.76900000000002,5.833964941448087,6.690234444311989,9,Slightly toxic,2
56,Compound 57,CCCCCCO,3.02,1.559,45.35819535200859,102.104465068,102.177,88.06499999999998,31.22779999999998,4.982747501432695,5.535533905932738,7,Slightly toxic,2
316,Compound 317,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,3.2994,1.2086000000000003,71.53158831669258,184.012021228,184.107,180.075,41.41560000000001,6.206684755924204,10.008071689507773,13,Slightly toxic,2
357,Compound 358,CCCCC=O,3.824,1.3755,38.36054158545974,86.07316494,86.134,76.05399999999999,25.588999999999988,4.106918903213131,4.82842712474619,6,Slightly toxic,2
229,Compound 230,Cc1ccc(O)c(C)c1,3.866,2.00904,54.95552110048619,122.07316494,122.16699999999996,112.08699999999996,37.5808,5.679264403068835,6.8533711511285205,9,Slightly toxic,2
262,Compound 263,O=[N+]([O-])c1ccccc1,3.015,1.5948,52.08437884199676,123.0320284,123.11099999999996,118.07099999999998,33.0964,4.650461522375814,6.69023444431199,9,Slightly toxic,2
209,Compound 210,N#Cc1cccc(C(F)(F)F)c1,3.555,2.5770800000000005,67.05047323853759,171.029583788,171.12099999999998,167.089,36.15900000000001,5.890508091286144,9.190234444311992,12,Slightly toxic,2
209,Compound 210,N#Cc1cccc(C(F)(F)F)c1,3.555,2.5770800000000005,67.05047323853759,171.029583788,171.12099999999998,167.089,36.15900000000001,5.890508091286144,9.190234444311992,12,Slightly toxic,2
266,Compound 267,Oc1ccccc1,3.46,1.3922,42.22563687169298,94.041864812,94.113,88.06499999999998,28.1068,3.833964941448088,5.112884175122364,7,Slightly toxic,2
347,Compound 348,Cc1ccc(O)cc1,3.815,1.70062,48.59057898608959,108.057514876,108.14,100.07599999999998,32.843799999999995,4.756614672258461,5.983127663125442,8,Slightly toxic,2
300,Compound 301,CC(Cl)(Cl)Cl,3.45,2.3765,46.01399182287118,131.930033136,133.405,130.381,25.963999999999995,4.901680257083045,4.5,5,Slightly toxic,2
317,Compound 318,CCCCCCN,3.253,1.5254000000000003,45.903852296825306,101.12044948,101.193,86.07299999999998,33.19639999999999,5.112884175122363,5.535533905932738,7,Slightly toxic,2
62,Compound 63,NC(=O)c1ccccc1O,3.133,0.4911,58.09199178314606,137.047678464,137.13799999999998,130.08199999999997,36.62470000000002,5.242213231911951,7.560477932315068,10,Slightly toxic,2
6,Compound 7,CCCCN(C=O)CCCC,3.246,2.045,69.58014371324954,157.146664228,157.25699999999998,138.10499999999996,47.45300000000002,7.675452842272733,8.52709773749546,11,Slightly toxic,2
57,Compound 58,C#C[C@](C)(O)c1ccccc1,3.112,1.5273,66.68463072113867,146.07316494,146.18899999999996,136.10899999999998,44.84580000000003,6.411315210637714,8.319990956308914,11,Slightly toxic,2
