,Compound ID,SMILES,MolecularWeight,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,N_H_Donors,N_H_Acceptors,Max_Partial_Charge,Min_Partial_Charge,pLC50
40,compound-41,Clc1ccc(Cl)c(Cl)c1,181.449,3.6468000000000007,0.0,0,1,9,0,0,0.0842870944577313,0.0606613048593648,4.783
41,compound-42,C#CCCO,70.091,0.002,20.23,1,0,5,1,1,0.3953862519933469,0.0539971082245443,3.288
42,compound-43,C[C@@H](O)CN,75.11099999999999,-0.6741000000000001,46.25,1,0,5,2,2,0.3921032417312494,0.0633842746375362,1.474
43,compound-44,O=CN(c1ccccc1)c1ccccc1,197.237,2.9811000000000014,20.31,3,2,15,0,1,0.2836563108203374,0.2182073612040324,3.812
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,250.33900000000003,4.9536,0.0,0,1,11,0,0,0.0825977974143921,0.0808451022767468,6.0
45,compound-46,Oc1c(I)cc(I)cc1I,471.801,3.2060000000000004,20.23,0,1,10,1,1,0.505728795260701,0.1417805128785677,5.591
46,compound-47,CNC(=O)Oc1ccc(C(C)(C)C)cc1,207.273,2.702300000000001,38.33,1,1,15,1,2,0.4118383364959599,0.4103657605456754,4.317
47,compound-48,CNC(=O)Oc1ccccc1OC(C)C,209.245,2.192,47.56,3,1,15,1,3,0.4870953014626586,0.4119714855060775,4.376
48,compound-49,C=C(C)C(=O)OC(C)C,128.171,1.5141,26.3,2,0,9,0,2,0.4596327159147271,0.3328591644317298,3.528
49,compound-50,CC(C)=C[C@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,338.44700000000006,5.1520000000000055,39.44,6,2,25,0,3,0.4685768102595097,0.3099579727873044,7.751
50,compound-51,COc1cccc(O)c1,124.13899999999998,1.4007999999999998,29.46,1,1,9,1,2,0.5078231992316957,0.1220462800254047,3.225
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,184.107,1.2086000000000003,106.51000000000002,2,1,13,1,5,0.5019192577412589,0.3107149538461684,4.74
52,compound-53,O=[N+]([O-])c1ncccc1O,140.098,0.6954,76.26,1,1,10,1,4,0.5009598442723937,0.4054201791035949,2.924
53,compound-54,O[C@H]1CCCC[C@@H]1c1ccccc1,176.259,2.7051000000000007,20.23,1,1,13,1,1,0.392493983912873,0.0608262961414363,3.599
54,compound-55,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,267.111,4.598200000000002,26.3,3,2,17,0,2,0.4573021753907061,0.1496857044315871,5.95
55,compound-56,COC(=O)c1ccc([N+](=O)[O-])cc1,181.147,1.3814,69.44,2,1,13,0,4,0.4654174757714744,0.3373500103780115,3.881
56,compound-57,CCCCCCO,102.177,1.559,20.23,4,0,7,1,1,0.396376569347818,0.0430524058387139,3.02
57,compound-58,C#C[C@](C)(O)c1ccccc1,146.18899999999996,1.5273,20.23,1,1,11,1,1,0.3736678503462706,0.1474048728896116,3.112
58,compound-59,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,391.2940000000001,6.113300000000004,35.53,6,2,26,0,3,0.4605632650776904,0.3099576442525119,7.388
59,compound-60,CC#N,41.053,0.52988,23.79,0,0,3,0,1,0.1986584259265234,0.058714823771249,1.398
60,compound-61,COc1cccc(C=O)c1O,152.14899999999997,1.2133,46.53,2,1,11,1,3,0.5037612132333203,0.1678757590107854,5.2811
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,261.119,1.57852,54.86,2,1,14,1,3,0.3283497413377791,0.3101846646430806,3.148
62,compound-63,NC(=O)c1ccccc1O,137.13799999999998,0.4911,63.32000000000001,1,1,10,2,2,0.5071219157350979,0.2519536836530817,3.133
63,compound-64,NCc1ccccc1,107.15599999999996,1.1453,26.02,1,1,8,1,1,0.3264975066178271,0.0177607629467539,3.021
64,compound-65,C=C(C)C(=O)OC[C@H]1CCCO1,170.20799999999997,1.2847000000000002,35.53,3,0,12,0,3,0.4595898297076624,0.3326980729060355,3.691
65,compound-66,Cc1ccccc1F,110.13099999999996,2.13412,0.0,0,1,8,0,0,0.2067178848284818,0.1256118174670643,3.754
66,compound-67,c1ccc2ccccc2c1,128.17399999999998,2.8398000000000003,0.0,0,2,10,0,0,0.061629711446875,0.0184042506724422,4.32
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,254.329,4.588900000000004,26.3,3,2,19,0,2,0.4573594194821045,0.1496857044315108,5.837
68,compound-69,CCCCCC=O,100.161,1.7656,17.07,4,0,7,0,1,0.303402908155129,0.119490197254345,3.758
69,compound-70,Cc1cccnc1,93.129,1.39002,12.89,0,1,7,0,1,0.264459387256486,0.0296530038281348,2.81
70,compound-71,CCC#N,55.08,0.91998,23.79,0,0,4,0,1,0.1983584061194375,0.0618342405908647,1.559
71,compound-72,CCCOC(C)=O,102.133,0.9595,26.3,2,0,7,0,2,0.4658887398426499,0.3021226973628452,3.231
72,compound-73,BrC[C@@H]1CCCCO1,179.05699999999996,1.9504,9.23,1,0,8,0,1,0.3773538352230695,0.0671386811371226,2.941
73,compound-74,CCCCOc1ccccc1,150.22099999999998,2.8655000000000017,9.23,4,1,11,0,1,0.4936020171055251,0.1187851854213908,4.416
74,compound-75,Cc1cccc(C)c1,106.168,2.30344,0.0,0,1,8,0,0,0.0617408714267734,0.0397646050489469,3.821
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,350.591,4.718100000000002,40.58,6,1,18,0,5,0.4039620319976707,0.3813559433952989,6.042
76,compound-77,ClCC(Cl)Cl,133.405,2.0289,0.0,1,0,5,0,0,0.1237717114758799,0.1208287250159443,3.213
77,compound-78,COC(=O)c1ccc(C(=O)OC)c(N)c1,209.20099999999996,0.8420000000000001,78.62,2,1,15,1,5,0.4654165961192819,0.3394535503296441,4.37
78,compound-79,Nc1ccccc1,93.129,1.2688,26.02,0,1,7,1,1,0.3987288294865909,0.0313475925912186,2.948
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,139.11,1.3003999999999998,63.370000000000005,1,1,10,1,3,0.5079581647909615,0.2691949560161654,3.492
80,compound-81,CC1(C)OC[C@@H](CO)O1,132.159,0.1301999999999998,38.69,1,0,9,1,3,0.3935803378979399,0.1629811860902335,0.898
81,compound-82,CCO,46.069,-0.0014,20.23,0,0,3,1,1,0.3966637147812598,0.0402205817490864,0.496
82,compound-83,Cc1ccc(C)cc1,106.168,2.30344,0.0,0,1,8,0,0,0.0590625791802387,0.0397741940817219,4.078
83,compound-84,N#Cc1ccccn1,104.11199999999997,0.95328,36.68,0,1,8,0,2,0.2455722835386355,0.1399318192047749,2.5884
84,compound-85,NC(=O)C(Cl)Cl,127.958,0.2754,43.09,1,0,6,1,1,0.3673176053979163,0.2502258746447246,2.725
85,compound-86,CC1(C)O[C@]2(C)CC[C@H]1CC2,154.253,2.7441000000000013,9.23,0,0,11,0,1,0.3691300164664661,0.0661764034177079,3.18
86,compound-87,CCCCCC[C@H]1CCC(=O)O1,170.25199999999998,2.6624000000000008,26.3,5,0,12,0,2,0.4623451259224647,0.3056979856420554,3.976
87,compound-88,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,271.443,3.4632000000000005,86.28,2,1,15,0,4,0.3129968051844366,0.258212875637636,6.087
88,compound-89,CC(C)N(CCO)C(C)C,145.24599999999995,1.0975,23.47,4,0,10,1,2,0.3950441599672037,0.0558197434287292,2.859
89,compound-90,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,215.208,3.387100000000002,52.370000000000005,3,2,16,0,3,0.4573757386424334,0.269195976643037,4.91
90,compound-91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,230.909,3.8824,26.02,0,1,11,1,1,0.3962231845761825,0.0837474024105464,5.932
91,compound-92,Oc1cccc2ccccc12,144.17299999999997,2.5454,20.23,0,2,11,1,1,0.5073115174760926,0.1228987281920831,4.493
92,compound-93,O=Cc1ccccc1,106.12399999999997,1.4991,17.07,1,1,8,0,1,0.2978964116504968,0.149548028830363,4.032
93,compound-94,CC(C)O,60.096,0.3871,20.23,0,0,4,1,1,0.3937069016405105,0.0483476118086921,0.842
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,179.116,2.4267000000000003,26.02,0,1,12,1,1,0.4179867984784078,0.3982338532245834,3.782
95,compound-96,CCN(CC)c1ccccc1,149.23699999999997,2.532800000000001,3.24,3,1,11,0,1,0.3720922269386495,0.0365482771618969,3.959
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,151.253,1.9139,26.02,0,0,11,1,1,0.3250304809663282,0.0161841120166209,3.782
97,compound-98,CCSCCSCC,150.31199999999998,2.4926000000000004,0.0,5,0,8,0,2,0.161436286664089,0.0023433536909533,3.397
98,compound-99,CC(C)(C)O,74.12299999999999,0.7772,20.23,0,0,5,1,1,0.3907600879079809,0.0563258534106586,1.063
99,compound-100,Nc1ccccc1Cl,127.57399999999998,1.9222,26.02,0,1,8,1,1,0.3975229646084393,0.0634914077212632,4.347
100,compound-101,CCCN,59.112,0.3551000000000002,26.02,1,0,4,1,1,0.3304839223850739,0.007990568627305,2.283
101,compound-102,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,278.291,3.3260000000000014,17.07,3,3,20,0,1,0.3086347994521468,0.170511936828085,3.715
102,compound-103,O=Cc1cc(Br)cc(Br)c1O,279.915,2.7297,37.3,1,1,11,1,2,0.506015331073557,0.15335194442329,5.518
103,compound-104,CC(=O)c1ccc(Cl)cc1Cl,189.041,3.196000000000001,17.07,1,1,11,0,1,0.2944540407368913,0.1607984744240977,4.208
104,compound-105,O=[N+]([O-])c1ccc(F)cc1,141.101,1.7338999999999998,43.14,1,1,10,0,2,0.2691313510706342,0.2583096155052176,3.696
105,compound-106,CC#CCO,70.091,0.002,20.23,0,0,5,1,1,0.3836559865707092,0.1037192439899468,3.841
106,compound-107,COc1cccc(C=O)c1O,152.14899999999997,1.2133,46.53,2,1,11,1,3,0.5037612132333203,0.1678757590107854,4.801
107,compound-108,COc1cc(Cl)c(Cl)cc1O,193.029,2.7076000000000007,29.46,1,1,11,1,2,0.504217836761118,0.1615703675170451,4.635
108,compound-109,CCCCCC(=O)OCC,144.214,2.1298000000000004,26.3,5,0,10,0,2,0.4659692078832712,0.3052674242159281,4.21
109,compound-110,Cc1cc(Cl)nc(N)n1,143.57700000000003,1.02062,51.8,0,1,9,1,3,0.3677411867494968,0.2211409690646601,3.008
110,compound-111,CCCC=O,72.107,0.9854,17.07,2,0,5,0,1,0.3034030972577946,0.1194797811341422,3.69
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,200.26299999999995,0.3719999999999999,40.620000000000005,2,0,13,0,3,0.2886679799533312,0.2376939348342289,1.647
112,compound-113,CN(C)c1ccccn1,122.171,1.1476,16.130000000000003,1,1,9,0,2,0.3627476496611739,0.1274384253816817,2.983
113,compound-114,c1ccc2occc2c1,118.13499999999996,2.4328000000000003,13.14,0,2,9,0,1,0.4643529208477263,0.1333445765522491,3.924
114,compound-115,ClCCN1CCCC1,133.622,1.321,3.24,2,0,8,0,1,0.3021528901724848,0.0350670431227842,2.941
115,compound-116,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],183.123,1.0852,112.3,2,1,13,1,5,0.3931603244404849,0.2984773997123301,4.092
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,263.378,1.7163999999999997,40.16,12,0,18,0,5,0.351579461805144,0.1695659510129255,2.618
117,compound-118,Cc1cc(O)ccc1Cl,142.585,2.35402,20.23,0,1,9,1,1,0.5079547579712229,0.1154448338934133,4.416
118,compound-119,N#Cc1cc(I)c(O)c(I)c1,370.915,2.4730799999999995,44.02,0,1,11,1,2,0.505728532200967,0.1417968774940767,4.737
119,compound-120,CCCCBr,137.02,2.1814,0.0,2,0,5,0,0,0.092807985075221,0.0031152227076761,3.572
120,compound-121,O=Cc1ccccc1F,124.11399999999998,1.6382,17.07,1,1,9,0,1,0.2977814830392608,0.1524941969575761,4.964
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,323.31000000000006,3.645100000000002,61.6,6,2,21,0,5,0.4401806966346331,0.2691956100921183,6.613
122,compound-123,Cc1cc(C)c(O)c(C)c1,136.194,2.3174600000000005,20.23,0,1,10,1,1,0.507407026806241,0.1209035857971854,4.02
123,compound-124,Nc1c(F)c(F)c(F)c(F)c1F,183.079,1.9643,26.02,0,1,12,1,1,0.3937864322348675,0.2001886813011719,3.693
124,compound-125,C[C@H](Cl)CCl,112.987,1.8525,0.0,1,0,5,0,0,0.1251251140376751,0.044279223500676,2.951
125,compound-126,O=Cc1ccccc1[N+](=O)[O-],151.12099999999998,1.4073,60.21,2,1,11,0,3,0.2976182218548914,0.2793780293509298,4.021
126,compound-127,CCCCCOCCCCC,158.28499999999997,3.383400000000002,9.23,8,0,11,0,1,0.3814524517564456,0.0465532239856138,4.703
127,compound-128,Cl[C@@H]1CCCC[C@H]1Cl,153.05200000000002,2.7752000000000008,0.0,0,0,8,0,0,0.1214007817149079,0.0499283439823206,3.92
128,compound-129,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,308.36100000000005,3.1003000000000016,44.760000000000005,7,1,18,0,5,0.4241282066165725,0.3800444839234029,3.854
129,compound-130,CCc1ccc(N)cc1,121.183,1.8312,26.02,1,1,9,1,1,0.3987285623758841,0.0313675952262384,3.22
130,compound-131,Clc1ccccc1Cl,147.00400000000002,2.9934000000000003,0.0,0,1,8,0,0,0.082713195464924,0.0591803442783615,4.191
131,compound-132,CCCCCCCCBr,193.128,3.741800000000003,0.0,6,0,9,0,0,0.0928078039875834,0.003125302405515,5.363
132,compound-133,CCCCC(C)=O,100.161,1.7656,17.07,3,0,7,0,1,0.3000310249948769,0.1293397726031704,2.37
133,compound-134,CCCCO,74.123,0.7787999999999999,20.23,2,0,5,1,1,0.396376752069211,0.0430422834852069,1.633
134,compound-135,CC(C)C(O)C(C)C,116.20399999999998,1.6593,20.23,2,0,8,1,1,0.3925964342249897,0.0585506269132277,2.854
135,compound-136,ClCCl,84.93299999999999,1.4215,0.0,0,0,3,0,0,0.1091323299005052,0.0967063903764919,2.41
136,compound-137,CC1(C)CCC(C)(C)O1,128.21499999999995,2.354,9.23,0,0,9,0,1,0.3697033097710654,0.0634397757691015,2.883
137,compound-138,C[C@@H](O)CCl,94.541,0.6060000000000001,20.23,1,0,5,1,1,0.3921787579325015,0.0646920914853943,2.586
138,compound-139,C=C(C)C(=O)OCCOCC,158.19699999999995,1.1422,35.53,5,0,11,0,3,0.4598991618578776,0.332687275260266,3.757
139,compound-140,CC(C)(C)c1ccc(O)cc1,150.221,2.689700000000001,20.23,0,1,11,1,1,0.5079666394035982,0.1150955425890133,4.465
140,compound-141,CC(=O)c1ccc(Cl)c(Cl)c1Cl,223.486,3.849400000000001,17.07,1,1,12,0,1,0.2944530666610912,0.160853567621954,5.048
141,compound-142,CCC(C)(O)CC,102.177,1.5574,20.23,2,0,7,1,1,0.3902053852586639,0.0614129514853315,2.182
142,compound-143,ClC=C(Cl)Cl,131.389,2.5017000000000005,0.0,0,0,5,0,0,0.1176031867403948,0.0903590844896965,3.474
143,compound-144,CCOCC,74.12299999999999,1.0428000000000002,9.23,2,0,5,0,1,0.3820258357826421,0.0437084125246928,1.462
144,compound-145,CCOC(=O)c1ccccc1O,166.176,1.5689,46.53,2,1,12,1,3,0.5070527991696192,0.3413977983896268,3.914
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,233.098,3.0869000000000018,32.34,1,1,14,1,1,0.3306530379179029,0.3208174549548312,4.215
146,compound-147,C1OCOCO1,90.078,-0.0776999999999999,27.69,0,0,6,0,3,0.3291944303103015,0.1519595955787762,1.18
147,compound-148,ClC(Cl)C(Cl)Cl,167.85,2.5938000000000008,0.0,1,0,6,0,0,0.1373436125313979,0.1023649901934849,3.917
148,compound-149,CNc1ccc(F)cc1,125.146,1.8674,12.03,1,1,9,1,1,0.3881193177646666,0.1228590709697554,3.513
149,compound-150,CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,240.215,2.7221,106.51,4,1,17,1,5,0.5018875394209572,0.3173696716943812,5.652
150,compound-151,O=Cc1ccc(Cl)cc1,140.569,2.1525,17.07,1,1,9,0,1,0.2978963972781543,0.1495497590227355,4.804
151,compound-152,CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.348,3.600400000000003,52.60000000000001,8,1,20,0,4,0.4620783967394106,0.3385059645525906,5.445
152,compound-153,Cc1ccc(C)c(C)c1,120.19499999999998,2.611860000000001,0.0,0,1,9,0,0,0.0590430139440344,0.0395015620935444,4.192
153,compound-154,CCCCCCCCCCO,158.285,3.119400000000001,20.23,8,0,11,1,1,0.3963765693422825,0.043052407228889,4.818
154,compound-155,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,278.348,3.600400000000003,52.60000000000001,8,1,20,0,4,0.4620972965702901,0.3376180120346106,5.674
155,compound-156,CCCCCCOC(C)=O,144.214,2.1298000000000004,26.3,5,0,10,0,2,0.4658776866736628,0.3021228679260941,4.516
156,compound-157,COc1ccc(O)cc1,124.13899999999998,1.4007999999999998,29.46,1,1,9,1,2,0.5079622349506875,0.1186288464696026,3.053
157,compound-158,C/C=C/C=C/C,82.146,2.1386000000000003,0.0,1,0,6,0,0,0.0876723036549672,0.0466784964343766,3.614
158,compound-159,C=CCCCCCCC=C,138.254,3.6990000000000025,0.0,7,0,10,0,0,0.1030829789362615,0.0353412916380871,5.678
159,compound-160,CC/C=C\CCO,100.161,1.335,20.23,3,0,7,1,1,0.3960544779845276,0.0465021311148367,2.42
160,compound-161,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],182.135,1.81142,86.28,2,1,13,0,4,0.2786703841060921,0.258305976280152,3.876
161,compound-162,c1cc2c3c(cccc3c1)CC2,154.21199999999996,2.938400000000001,0.0,0,2,12,0,0,0.0613547857196333,0.0119578821432571,4.95
162,compound-163,C#C[C@@H](C)O,70.091,0.0003999999999999,20.23,0,0,5,1,1,0.3806894310661223,0.1112111588352996,3.777
163,compound-164,c1ccc(-c2cccc(-c3ccccc3)n2)cc1,231.298,4.415600000000003,12.89,2,3,18,0,1,0.2477980524125802,0.0709010497358516,6.042
164,compound-165,Nc1ccc(O)c([N+](=O)[O-])c1,154.12499999999997,0.8826,89.39,1,1,11,2,4,0.5020908661799127,0.3122479296387536,3.629
165,compound-166,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,184.107,1.2086,106.51000000000002,2,1,13,1,5,0.5020866322914874,0.3170627212663399,4.228
166,compound-167,CCCCCCCCC(C)=O,156.269,3.3260000000000023,17.07,7,0,11,0,1,0.300031023494696,0.1293399502822748,4.51
167,compound-168,C#C[C@](C)(O)CC,98.145,0.7806,20.23,1,0,7,1,1,0.3779327525301874,0.1217247808930599,1.906
168,compound-169,COc1ccc(C(C)=O)c(O)c1,166.176,1.6034,46.53,2,1,12,1,3,0.5070545801462027,0.1630184534171323,3.379
169,compound-170,CCCCCO,88.15,1.1689,20.23,3,0,6,1,1,0.3963765707960063,0.0430522334535721,2.272
170,compound-171,CN(C)c1ccccc1,121.18299999999998,1.7526,3.24,1,1,9,0,1,0.3776614787127546,0.0360487258155562,3.19
171,compound-172,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,260.76200000000006,4.7574,0.0,1,0,10,0,0,0.1265291725972173,0.0799846936436969,6.462
172,compound-173,C#C[C@H](O)CCCC,112.172,1.1707,20.23,3,0,8,1,1,0.380395625856092,0.1140083207980241,4.804
173,compound-174,c1ccccc1,78.11399999999999,1.6866,0.0,0,1,6,0,0,0.0622685707820924,0.0622685707820924,3.502
174,compound-175,C=CC(=O)OCC(C)C,128.17099999999996,1.3716000000000002,26.3,3,0,9,0,2,0.4622729123632779,0.3296476988477212,4.786
175,compound-176,N#Cc1cc(Cl)ccc1N,152.584,1.79388,49.81,0,1,10,1,2,0.3976561719184778,0.1013465476444913,3.727
176,compound-177,Nc1ccc([N+](=O)[O-])cc1,138.126,1.1769999999999998,69.16,1,1,10,1,3,0.3987220829005812,0.2690748004302891,3.043
177,compound-178,COC(=O)c1ccc(C#N)cc1,161.16,1.34488,50.09,1,1,12,0,3,0.4654175150770369,0.337342918246414,3.537
178,compound-179,N#Cc1ccccn1,104.11199999999997,0.95328,36.68,0,1,8,0,2,0.2455722835386355,0.1399318192047749,2.04915
179,compound-180,Cc1ccccn1,93.129,1.39002,12.89,0,1,7,0,1,0.2616124249449184,0.0372146527339204,2.016
180,compound-181,O=[N+]([O-])c1cccc(Cl)c1,157.55599999999998,2.2482000000000006,43.14,1,1,10,0,2,0.2704139797948705,0.2583088885799244,3.924
181,compound-182,CNC(=O)Oc1cccc2ccccc12,201.225,2.558,38.33,1,2,15,1,2,0.4118597328988006,0.4096970676079811,4.362
182,compound-183,ClCCCCCCl,141.041,2.6343000000000014,0.0,4,0,7,0,0,0.1267169638113298,0.0222962794648497,3.746
183,compound-184,CCCSCCC,118.245,2.539600000000001,0.0,4,0,7,0,1,0.1620292674116231,0.0070166870604057,3.735
184,compound-185,c1ccncc1,79.10199999999999,1.0816,12.89,0,1,6,0,1,0.264736970888988,0.0267287682952611,2.9
185,compound-186,CCCCOC(=O)CCC(=O)OCCCC,230.30399999999997,2.4532000000000007,52.60000000000001,9,0,16,0,4,0.4656637350766014,0.3058705276665661,4.713
186,compound-187,CCCC[C@@H](CC)CO,130.231,2.1951,20.23,5,0,9,1,1,0.3960883514176953,0.045866245954964,3.664
