,compound_id,smiles,pLC50,MolLogP,LabuteASA,ExactMolWt,MolWt,HeavyAtomMolWt,MolMR,Chi0v,Chi0,HeavyAtomCount,toxicity_category
12,Compound 13,CCCCCCCCCCc1ccc(N)cc1,6.575,4.952000000000004,106.4207149604758,233.214349864,233.399,206.183,77.16840000000005,11.25071237662706,12.347088693804372,17,Extremely toxic
13,Compound 14,CCCCOP(=O)(OCCCC)OCCCC,4.449,4.544600000000004,105.64386064918796,266.164695974,266.3179999999999,239.10199999999995,70.18650000000005,12.338594979034257,12.985281374238571,17,Moderately toxic
14,Compound 15,Cc1ccccc1O,3.889,1.70062,48.59057898608959,108.057514876,108.13999999999996,100.07599999999998,32.843799999999995,4.756614672258461,5.983127663125442,8,Slightly toxic
15,Compound 16,CC(C)[C@H](C)N,2.487,0.9895999999999998,39.53891018242869,87.10479941599999,87.166,74.06199999999998,28.487399999999987,4.732050807568877,5.154700538379252,6,Practically non-toxic
16,Compound 17,CCCCCCCCCCC(C)=O,5.194,4.106200000000004,82.91513638623601,184.182715388,184.323,160.13099999999997,57.90800000000005,9.272209321142793,9.941311299868556,13,Highly toxic
17,Compound 18,Cc1cc(C)c(C#N)c(O)n1,2.975,1.27572,64.93269087729801,148.063662876,148.165,140.10099999999997,40.09080000000002,6.4189910556895,8.430721420318147,11,Practically non-toxic
18,Compound 19,ClC(Cl)Cl,3.228,1.9864,39.64904970847457,117.914383072,119.378,118.37,21.347,3.979030526272671,3.5773502691896257,4,Slightly toxic
19,Compound 20,COc1ccc(C=O)c(OC)c1,3.917,1.5162999999999998,70.9148420217443,166.06299418,166.176,156.09599999999998,44.933500000000016,7.034145948150093,8.974691494688164,12,Slightly toxic
20,Compound 21,CCCSSCCC,4.759,3.187800000000002,60.21014373689272,150.053692448,150.31199999999998,136.2,45.498000000000026,7.277916867529369,6.242640687119286,8,Moderately toxic
21,Compound 22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,4.56,2.4508,79.27905139771542,199.003620732,199.593,193.545,48.11090000000001,7.537902693488107,10.008071689507773,13,Moderately toxic
22,Compound 23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,6.161,5.420300000000004,127.0745328963102,341.973857062,342.875,326.74700000000007,87.30400000000003,14.396986820948198,13.432875131431278,18,Extremely toxic
23,Compound 24,ClC(Cl)C(Cl)(Cl)Cl,4.429,3.1603000000000003,66.62052427663453,199.852088432,202.295,201.287,35.784000000000006,6.746817364328034,6.077350269189626,7,Moderately toxic
24,Compound 25,N#CCCCCC#N,1.75,1.59396,49.34912096275002,108.068748256,108.144,100.07999999999998,29.69399999999999,4.7228543157461065,6.242640687119286,8,Practically non-toxic
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,74.036779432,74.079,68.03099999999999,17.689999999999998,3.3164965809277263,4.284457050376173,5,Practically non-toxic
26,Compound 27,CCCCCCCCN,4.396,2.3056,58.63373652561853,129.151749608,129.247,110.09499999999996,42.43040000000001,6.527097737495458,6.949747468305834,9,Moderately toxic
27,Compound 28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,5.192,4.396300000000004,100.57386528502528,222.198365452,222.372,196.164,72.47680000000005,11.214798309001573,12.604448006685086,16,Highly toxic
28,Compound 29,NC(=O)c1ccccc1N,2.537,0.3676999999999998,58.63764872796276,136.063662876,136.154,128.08999999999995,39.37230000000001,5.372349905601618,7.560477932315068,10,Practically non-toxic
29,Compound 30,CCCO,1.121,0.3887,26.263369008818778,60.057514876,60.096,52.032,17.3768,2.861427157873053,3.414213562373095,4,Practically non-toxic
30,Compound 31,CC(C)(O)CCc1ccccc1,3.393,2.3901000000000003,74.05034744367602,164.120115132,164.24799999999996,148.11999999999998,51.06080000000004,7.748178503821183,9.02709773749546,12,Slightly toxic
31,Compound 32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.109,-1.029300000000001,79.02895701814933,194.08037556,194.194,184.114,51.19600000000001,8.182701232117184,10.455665446700475,14,Slightly toxic
32,Compound 33,Brc1ccsc1,4.421,2.5106,48.93931399554982,161.913883196,163.03900000000002,160.015,32.019,5.420756691084398,4.405777393935816,6,Moderately toxic
33,Compound 34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.423,1.1849999999999998,94.9671316856138,226.131742436,226.276,208.13199999999995,58.47740000000003,9.923415484140858,12.344934982691242,16,Slightly toxic
34,Compound 35,Clc1cccc(Cl)c1,4.263,2.9934000000000003,58.03793557326031,145.969005488,147.00400000000002,142.97199999999998,36.46200000000001,5.577187914813867,5.983127663125442,8,Moderately toxic
35,Compound 36,C=C[C@H](O)CCC,3.518,1.3334,44.66859231982434,100.088815004,100.161,88.06499999999998,31.111799999999985,4.723234477438853,5.698670612749268,7,Slightly toxic
36,Compound 37,O=C(c1ccccc1)c1ccncc1,3.25,2.3126,82.23460952094787,183.068413908,183.21,174.13799999999998,54.11150000000002,7.551614308670455,9.803118619434356,14,Slightly toxic
37,Compound 38,Oc1ccc(Oc2ccc(O)cc2)cc1,4.544,2.8901000000000003,87.1905100594599,202.06299418,202.209,192.129,56.28760000000003,7.921477634980787,10.673362107437434,15,Moderately toxic
38,Compound 39,Oc1c(Br)cc(Br)cc1Br,4.703,3.6797,83.82827968861704,327.77340101600004,330.801,327.777,51.20680000000001,9.493797170251003,7.723614639131599,10,Moderately toxic
39,Compound 40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.681,0.7003999999999997,98.1995153196948,232.084792244,232.239,220.143,60.09240000000002,9.318602998526268,12.466255326250886,17,Practically non-toxic
40,Compound 41,Clc1ccc(Cl)c(Cl)c1,4.783,3.6468000000000007,68.34120180014197,179.930033136,181.449,178.425,41.47200000000001,6.633731064651922,6.8533711511285205,9,Moderately toxic
41,Compound 42,C#CCCO,3.288,0.002,31.627536515074656,70.041864812,70.091,64.04299999999999,20.535799999999995,2.9387774270626785,4.121320343559642,5,Slightly toxic
42,Compound 43,C[C@@H](O)CN,1.474,-0.6741000000000001,31.60325970583149,75.068413908,75.11099999999999,66.039,20.7352,3.309020915065757,4.284457050376173,5,Practically non-toxic
43,Compound 44,O=CN(c1ccccc1)c1ccccc1,3.812,2.9811000000000014,88.77479521020474,197.084063972,197.237,186.149,61.08700000000004,8.206314847049706,10.510225400620904,15,Slightly toxic
44,Compound 45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,6.0,4.9536,88.94773425390534,247.852088432,250.33900000000003,249.331,51.49200000000001,8.746817364328034,8.593858127134677,11,Extremely toxic
45,Compound 46,Oc1c(I)cc(I)cc1I,5.591,3.2060000000000004,100.01115123482388,471.7318087160001,471.801,468.777,66.2578,11.208302426435855,7.723614639131599,10,Highly toxic
46,Compound 47,CNC(=O)Oc1ccc(C(C)(C)C)cc1,4.317,2.702300000000001,90.44598531903527,207.125928784,207.273,190.137,60.22570000000004,9.625897657686233,11.474691494688164,15,Moderately toxic
47,Compound 48,CNC(=O)Oc1ccccc1OC(C)C,4.376,2.192,89.19458843414556,209.10519334,209.245,194.125,57.28970000000004,9.11149621733972,11.259148545064338,15,Moderately toxic
48,Compound 49,C=C(C)C(=O)OC(C)C,3.528,1.5141,55.51436801157557,128.083729624,128.171,116.07499999999996,36.042,6.1009536313039,7.439157588755425,9,Slightly toxic
49,Compound 50,CC(C)=C[C@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,7.751,5.1520000000000055,149.2417651062343,338.188194692,338.44700000000006,312.23900000000003,97.94400000000007,15.412461125660943,18.026733258565955,25,Extremely toxic
50,Compound 51,COc1cccc(O)c1,3.225,1.4007999999999998,53.70412421559645,124.052429496,124.13899999999998,116.07499999999996,34.6588,5.164862962722324,6.690234444311989,9,Slightly toxic
51,Compound 52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,4.74,1.2086000000000003,71.53158831669258,184.012021228,184.107,180.075,41.41560000000001,6.206684755924204,10.008071689507773,13,Moderately toxic
52,Compound 53,O=[N+]([O-])c1ncccc1O,2.924,0.6954,56.098260575139285,140.022191988,140.098,136.066,32.5562,4.890188174996477,7.560477932315068,10,Practically non-toxic
53,Compound 54,O[C@H]1CCCC[C@@H]1c1ccccc1,3.599,2.7051000000000007,79.40945840454341,176.120115132,176.259,160.13099999999997,53.65780000000005,7.81709260457353,9.096011838247808,13,Slightly toxic
54,Compound 55,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,5.95,4.598200000000002,108.7350392232716,265.990134856,267.111,259.0469999999999,68.36550000000003,10.2030855725001,12.25071237662706,17,Highly toxic
55,Compound 56,COC(=O)c1ccc([N+](=O)[O-])cc1,3.881,1.3814,74.08933040034063,181.037507704,181.147,174.09099999999998,44.43590000000002,6.889607834113915,9.844934982691242,13,Slightly toxic
56,Compound 57,CCCCCCO,3.02,1.559,45.35819535200859,102.104465068,102.177,88.06499999999998,31.22779999999998,4.982747501432695,5.535533905932738,7,Slightly toxic
57,Compound 58,C#C[C@](C)(O)c1ccccc1,3.112,1.5273,66.68463072113867,146.07316494,146.18899999999996,136.10899999999998,44.84580000000003,6.411315210637714,8.319990956308914,11,Slightly toxic
58,Compound 59,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,7.388,6.113300000000004,163.07268718223784,390.07894986,391.2940000000001,371.1340000000002,103.30400000000002,16.12784172090901,18.733840039752497,26,Extremely toxic
59,Compound 60,CC#N,1.398,0.52988,19.496772823694872,41.026549096,41.053,38.029,11.287,1.9472135954999577,2.7071067811865475,3,Practically non-toxic
60,Compound 61,COc1cccc(C=O)c1O,5.2811,1.2133,64.23058843003683,152.047344116,152.14899999999997,144.08499999999998,40.046300000000016,6.073111253186188,8.267584713501616,11,Highly toxic
61,Compound 62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,3.148,1.57852,90.09597294569724,260.016039756,261.119,248.015,58.76170000000002,10.012128238927788,10.878315177510853,14,Slightly toxic
62,Compound 63,NC(=O)c1ccccc1O,3.133,0.4911,58.09199178314606,137.047678464,137.13799999999998,130.08199999999997,36.62470000000002,5.242213231911951,7.560477932315068,10,Slightly toxic
63,Compound 64,NCc1ccccc1,3.021,1.1453,49.13623593090629,107.073499288,107.15599999999996,98.08399999999996,34.333400000000005,4.671208396324302,5.819990956308912,8,Slightly toxic
64,Compound 65,C=C(C)C(=O)OC[C@H]1CCCO1,3.691,1.2847000000000002,72.35196631634643,170.094294308,170.20799999999997,156.09599999999998,44.74700000000002,7.337629046513953,8.974691494688164,12,Slightly toxic
65,Compound 66,Cc1ccccc1F,3.754,2.13412,47.96188063681981,110.053178444,110.13099999999996,103.07499999999996,31.13699999999999,4.687365549767731,5.983127663125442,8,Slightly toxic
66,Compound 67,c1ccc2ccccc2c1,4.32,2.8398000000000003,60.11306765123216,128.062600256,128.17399999999998,120.10999999999996,43.94800000000002,5.618802153517007,6.811554787871633,10,Moderately toxic
67,Compound 68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,5.837,4.588900000000004,113.58827522709473,254.130679816,254.329,236.185,77.04550000000005,11.512649003634362,13.880468888623984,19,Highly toxic
68,Compound 69,CCCCCC=O,3.758,1.7656,44.72548369985636,100.088815004,100.161,88.06499999999998,30.20599999999998,4.814025684399679,5.535533905932738,7,Slightly toxic
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic
70,Compound 71,CCC#N,1.559,0.91998,25.86171493809148,55.04219916,55.08,50.03999999999999,15.904000000000002,2.6543203766865053,3.414213562373095,4,Practically non-toxic
71,Compound 72,CCCOC(C)=O,3.231,0.9595,43.47408681496662,102.06807956,102.133,92.05299999999998,26.923999999999985,4.730710143300821,5.698670612749268,7,Slightly toxic
72,Compound 73,BrC[C@@H]1CCCCO1,2.941,1.9504,58.5392232814316,177.999327072,179.05699999999996,167.96899999999997,37.385000000000005,6.485093477710159,5.819990956308912,8,Practically non-toxic
73,Compound 74,CCCCOc1ccccc1,4.416,2.8655000000000017,68.00471680659027,150.104465068,150.22099999999998,136.10899999999998,46.84500000000003,6.916319979971634,7.941311299868555,11,Moderately toxic
74,Compound 75,Cc1cccc(C)c1,3.821,2.30344,50.16128734829018,106.07825032,106.168,96.08799999999998,35.916,5.309401076758503,5.983127663125442,8,Slightly toxic
75,Compound 76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,6.042,4.718100000000002,125.74118203040852,348.926283882,350.591,339.50300000000004,77.43200000000002,13.63158821342878,13.759148545064338,18,Extremely toxic
76,Compound 77,ClCC(Cl)Cl,3.213,2.0289,46.013991822871176,131.930033136,133.405,130.381,26.213999999999995,4.6861373074592185,4.284457050376173,5,Slightly toxic
77,Compound 78,COC(=O)c1ccc(C(=O)OC)c(N)c1,4.37,0.8420000000000001,86.78119693319739,209.068807832,209.201,198.113,53.533400000000015,8.442394238613955,11.422285251880869,15,Moderately toxic
78,Compound 79,Nc1ccccc1,2.948,1.2688,42.77129381650968,93.057849224,93.129,86.07299999999998,30.8544,3.9641016151377535,5.112884175122364,7,Practically non-toxic
79,Compound 80,O=[N+]([O-])c1ccc(O)cc1,3.492,1.3003999999999998,56.87861259419277,139.02694302,139.11,134.07,34.76120000000001,5.020324848686146,7.560477932315068,10,Slightly toxic
80,Compound 81,CC1(C)OC[C@@H](CO)O1,0.898,0.1301999999999998,54.57945465749312,132.078644244,132.159,120.063,31.989799999999985,5.755274007990405,6.905777393935816,9,Practically non-toxic
81,Compound 82,CCO,0.496,-0.0014,19.89842689442217,46.041864812,46.069,40.021,12.759800000000002,2.1543203766865053,2.7071067811865475,3,Practically non-toxic
82,Compound 83,Cc1ccc(C)cc1,4.078,2.30344,50.16128734829018,106.07825032,106.168,96.08799999999998,35.916,5.309401076758503,5.983127663125442,8,Moderately toxic
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic
84,Compound 85,NC(=O)C(Cl)Cl,2.725,0.2754,45.21213839304599,126.959169076,127.958,124.934,24.6884,4.3307356668984776,5.154700538379252,6,Practically non-toxic
85,Compound 86,CC1(C)O[C@]2(C)CC[C@H]1CC2,3.18,2.7441000000000013,69.12561297984745,154.135765196,154.253,136.10899999999998,45.527000000000015,7.814025684399679,8.112884175122364,11,Slightly toxic
86,Compound 87,CCCCCC[C@H]1CCC(=O)O1,3.976,2.6624000000000008,74.29296623342044,170.130679816,170.25199999999998,152.10799999999998,47.87300000000003,7.843594318423186,8.811554787871634,12,Slightly toxic
87,Compound 88,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,6.087,3.4632000000000005,97.64715324514157,269.90018955200003,271.443,270.435,54.780800000000006,9.006450879128039,11.74855866551393,15,Extremely toxic
88,Compound 89,CC(C)N(CCO)C(C)C,2.859,1.0975,63.84791325100517,145.146664228,145.24599999999995,126.09399999999998,44.063800000000015,7.463341291752263,8.146264369941973,10,Practically non-toxic
89,Compound 90,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,4.91,3.387100000000002,92.25501827756769,215.058243148,215.208,206.136,59.612400000000015,8.368110889598182,11.380468888623982,16,Moderately toxic
90,Compound 91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,5.932,3.8824,83.98435872403637,228.901959816,230.909,227.885,50.894400000000005,8.190274214489978,8.593858127134677,11,Highly toxic
91,Compound 92,Oc1cccc2ccccc12,4.493,2.5454,64.90730140342819,144.057514876,144.17299999999997,136.10899999999998,45.61280000000003,5.98866547982734,7.681798275874712,11,Moderately toxic
92,Compound 93,O=Cc1ccccc1,4.032,1.4991,47.95786733393734,106.041864812,106.12399999999997,100.07599999999998,31.829499999999992,4.3723499056016175,5.819990956308912,8,Moderately toxic
93,Compound 94,CC(C)O,0.842,0.3871,26.263369008818778,60.057514876,60.096,52.032,17.3548,3.024563864689584,3.5773502691896257,4,Practically non-toxic
94,Compound 95,Nc1ccc(F)cc1C(F)(F)F,3.782,2.4267000000000003,65.79837754261123,179.03581204,179.116,174.07599999999996,35.81440000000001,5.82125896879541,9.35337115112852,12,Slightly toxic
95,Compound 96,CCN(CC)c1ccccc1,3.959,2.532800000000001,68.65100524728676,149.12044948,149.23699999999997,134.11699999999996,50.00300000000004,7.248178503821181,8.104448006685086,11,Slightly toxic
96,Compound 97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,3.782,1.9139,68.34612729382405,151.136099544,151.253,134.11699999999996,45.09040000000003,7.052041763877789,7.474691494688164,11,Slightly toxic
97,Compound 98,CCSCCSCC,3.397,2.4926000000000004,60.81018165054307,150.053692448,150.31199999999998,136.2,45.99800000000003,7.277916867529369,6.242640687119286,8,Slightly toxic
98,Compound 99,CC(C)(C)O,1.063,0.7772,32.62831112321538,74.07316494,74.12299999999999,64.04299999999999,21.971799999999995,3.947213595499958,4.5,5,Practically non-toxic
99,Compound 100,Nc1ccccc1Cl,4.347,1.9222,53.07456004339136,127.018876872,127.57399999999998,121.52599999999998,35.86440000000002,5.020644764975811,5.983127663125442,8,Moderately toxic
100,Compound 101,CCCN,2.283,0.3551000000000002,26.809025953635484,59.073499288,59.112,50.03999999999999,19.3454,2.9915638315627207,3.414213562373095,4,Practically non-toxic
101,Compound 102,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.715,3.3260000000000014,118.83519143171844,278.08605173,278.291,263.17099999999994,85.83450000000005,11.910143114808127,13.838652525367095,20,Slightly toxic
102,Compound 103,O=Cc1cc(Br)cc(Br)c1O,5.518,2.7297,80.48719629741608,277.85780356799995,279.915,275.88300000000004,48.89430000000001,8.515434717780561,8.430721420318147,11,Highly toxic
103,Compound 104,CC(=O)c1ccc(Cl)cc1Cl,4.208,3.196000000000001,74.92934190209729,187.979570172,189.041,182.993,46.46650000000002,7.408085936088104,8.430721420318147,11,Moderately toxic
104,Compound 105,O=[N+]([O-])c1ccc(F)cc1,3.696,1.7338999999999998,56.249914244923,141.022606588,141.101,137.069,33.0544,4.951075726195415,7.560477932315068,10,Slightly toxic
105,Compound 106,CC#CCO,3.841,0.002,31.627536515074656,70.041864812,70.091,64.04299999999999,20.5358,3.1543203766865053,4.121320343559642,5,Slightly toxic
106,Compound 107,COc1cccc(C=O)c1O,4.801,1.2133,64.23058843003683,152.047344116,152.14899999999997,144.08499999999998,40.046300000000016,6.073111253186188,8.267584713501616,11,Moderately toxic
107,Compound 108,COc1cc(Cl)c(Cl)cc1O,4.635,2.7076000000000007,74.31065666935982,191.974484792,193.029,186.981,44.67880000000002,7.277949262398437,8.430721420318147,11,Moderately toxic
108,Compound 109,CCCCCC(=O)OCC,4.21,2.1298000000000004,62.56891315815645,144.115029752,144.214,128.08599999999998,40.775000000000006,6.852030486860464,7.819990956308912,10,Moderately toxic
109,Compound 110,Cc1cc(Cl)nc(N)n1,3.008,1.02062,57.87879811968099,143.025024872,143.57700000000003,137.529,36.1914,5.6830211484068505,6.8533711511285205,9,Slightly toxic
110,Compound 111,CCCC=O,3.69,0.9854,31.99559947106314,72.057514876,72.107,64.04299999999999,20.972,3.399812122026584,4.121320343559642,5,Slightly toxic
111,Compound 112,CCN1C(=O)CC(=O)N(CC)C1=S,1.647,0.3719999999999999,82.48950646277572,200.061948624,200.26299999999995,188.167,51.989000000000026,8.556988986878874,10.008071689507773,13,Practically non-toxic
112,Compound 113,CN(C)c1ccccn1,2.983,1.1476,55.14076899944005,122.08439832,122.171,112.09099999999998,38.56400000000001,5.70382826775842,6.69023444431199,9,Practically non-toxic
113,Compound 114,c1ccc2occc2c1,3.924,2.4328000000000003,52.90739691530901,118.041864812,118.13499999999996,112.08699999999996,36.214000000000006,4.872349905601618,6.104448006685086,9,Slightly toxic
114,Compound 115,ClCCN1CCCC1,2.941,1.321,55.6212303433684,133.065827064,133.622,121.52599999999998,36.394,5.823747701646925,5.819990956308912,8,Practically non-toxic
115,Compound 116,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],4.092,1.0852,72.07724526150929,183.02800564,183.123,178.08299999999997,44.1632,6.336821429613872,10.008071689507773,13,Moderately toxic
116,Compound 117,CCOC(CN(C)CC(OCC)OCC)OCC,2.618,1.7163999999999997,111.33257098881973,263.209658408,263.378,234.146,71.57700000000007,12.477547982853949,13.803118619434356,18,Practically non-toxic
117,Compound 118,Cc1cc(O)ccc1Cl,4.416,2.35402,58.89384521297126,142.018542524,142.585,135.529,37.85380000000001,5.8131578220965165,6.8533711511285205,9,Moderately toxic
118,Compound 119,N#Cc1cc(I)c(O)c(I)c1,4.737,2.4730799999999995,91.50683490964556,370.830409716,370.915,367.891,58.255800000000015,9.620053257750268,8.430721420318147,11,Moderately toxic
119,Compound 120,CCCCBr,3.572,2.1814,41.70162497666073,135.988762388,137.02,127.94799999999998,28.701999999999988,5.085281355683573,4.121320343559642,5,Slightly toxic
120,Compound 121,O=Cc1ccccc1F,4.964,1.6382,52.12340273686357,124.032443,124.11399999999998,119.07399999999996,31.78749999999999,4.672964109421219,6.69023444431199,9,Moderately toxic
121,Compound 122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,6.613,3.645100000000002,127.39170558095353,323.038115558,323.31000000000006,309.1980000000001,85.71140000000001,13.049851619140057,15.294682450997078,21,Extremely toxic
122,Compound 123,Cc1cc(C)c(O)c(C)c1,4.02,2.3174600000000005,61.32046321488279,136.088815004,136.194,124.09799999999996,42.31780000000001,6.601914133879209,7.723614639131599,10,Moderately toxic
123,Compound 124,Nc1c(F)c(F)c(F)c(F)c1F,3.693,1.9643,63.59897083114085,183.010740164,183.079,181.063,30.644400000000008,5.467172634235761,9.464101615137755,12,Slightly toxic
124,Compound 125,C[C@H](Cl)CCl,2.951,1.8525,42.07566771038611,111.984655552,112.987,106.939,26.03499999999999,4.552243888431537,4.284457050376173,5,Practically non-toxic
125,Compound 126,O=Cc1ccccc1[N+](=O)[O-],4.021,1.4073,62.61084305643713,151.02694302,151.12099999999998,146.081,38.48390000000001,5.558709812839677,8.267584713501616,11,Moderately toxic
126,Compound 127,CCCCCOCCCCC,4.703,3.383400000000002,71.1372752869059,158.167065324,158.28499999999997,136.10899999999998,49.86900000000003,8.065102539956245,8.36396103067893,11,Moderately toxic
127,Compound 128,Cl[C@@H]1CCCC[C@H]1Cl,3.92,2.7752000000000008,60.16466290004672,152.01595568,153.05200000000002,142.97199999999998,37.75000000000001,6.250914501180805,5.983127663125442,8,Slightly toxic
128,Compound 129,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,3.854,3.1003000000000016,115.35093168678956,308.030587654,308.36100000000005,291.225,76.93940000000003,13.147738330270103,13.596011838247808,18,Slightly toxic
129,Compound 130,CCc1ccc(N)cc1,3.22,1.8312,55.501178045302886,121.089149352,121.183,110.09499999999996,40.23240000000002,5.593858127134677,6.69023444431199,9,Slightly toxic
130,Compound 131,Clc1ccccc1Cl,4.191,2.9934000000000003,58.03793557326031,145.969005488,147.00400000000002,142.97199999999998,36.46200000000001,5.577187914813867,5.983127663125442,8,Moderately toxic
131,Compound 132,CCCCCCCCBr,5.363,3.741800000000003,67.16139343424717,192.051362644,193.128,175.99199999999996,47.17000000000003,7.913708480429765,6.949747468305834,9,Highly toxic
132,Compound 133,CCCCC(C)=O,2.37,1.7656,44.72548369985636,100.088815004,100.161,88.06499999999998,30.20599999999998,5.029568634023505,5.698670612749268,7,Practically non-toxic
133,Compound 134,CCCCO,1.633,0.7787999999999999,32.62831112321538,74.07316494,74.123,64.04299999999999,21.9938,3.5685339390596003,4.121320343559642,5,Practically non-toxic
134,Compound 135,CC(C)C(O)C(C)C,2.854,1.6593,51.723137466405205,116.120115132,116.20399999999998,100.07599999999998,35.68279999999999,6.179264403068836,6.732050807568877,8,Practically non-toxic
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,83.953355424,84.93299999999999,82.917,16.573,2.974893619241911,2.7071067811865475,3,Practically non-toxic
136,Compound 137,CC1(C)CCC(C)(C)O1,2.883,2.354,57.40155990458345,128.120115132,128.21499999999995,112.08699999999996,38.477,6.822461852836958,7.121320343559643,9,Practically non-toxic
137,Compound 138,C[C@@H](O)CCl,2.586,0.6060000000000001,36.566635235700446,94.018542524,94.541,87.485,22.4008,3.865564064903813,4.284457050376173,5,Practically non-toxic
138,Compound 139,C=C(C)C(=O)OCCOCC,3.757,1.1422,66.99285535547905,158.094294308,158.19699999999995,144.08499999999998,42.26600000000001,7.053171996137779,8.69023444431199,11,Slightly toxic
139,Compound 140,CC(C)(C)c1ccc(O)cc1,4.465,2.689700000000001,67.6854053292794,150.104465068,150.221,136.10899999999998,46.80680000000003,7.256614672258461,8.483127663125442,11,Moderately toxic
140,Compound 141,CC(=O)c1ccc(Cl)c(Cl)c1Cl,5.048,3.849400000000001,85.23260812897895,221.94059782,223.486,218.446,51.476500000000016,8.464629085926159,9.300964908321223,12,Highly toxic
141,Compound 142,CCC(C)(O)CC,2.182,1.5574,45.35819535200859,102.104465068,102.177,88.06499999999998,31.205799999999986,5.361427157873052,5.914213562373095,7,Practically non-toxic
