,Compound ID,SMILES,MolecularWeight,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,MaxPartialCharge,MinPartialCharge,N_RadicalElectrons,N_ValenceElectrons,pLC50
27,compound-28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,222.37199999999999,4.396300000000004,20.23,7,0,16,0,1,1,0.38609150255511393,0.07995432892911318,0,92,5.192
28,compound-29,NC(=O)c1ccccc1N,136.154,0.3676999999999998,69.11,1,1,10,1,2,2,0.3980808153989169,0.2502884753186924,0,52,2.537
29,compound-30,CCCO,60.096000000000004,0.3887,20.23,1,0,4,0,1,1,0.3963873506323362,0.04278927992053377,0,26,1.121
30,compound-31,CC(C)(O)CCc1ccccc1,164.24799999999996,2.3901000000000003,20.23,3,1,12,1,1,1,0.3904597985279948,0.05944881197392998,0,66,3.393
31,compound-32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.19399999999996,-1.029300000000001,61.82,0,2,14,2,0,6,0.3317034326359888,0.3278634660994821,0,74,3.109
32,compound-33,Brc1ccsc1,163.03900000000002,2.5106,0.0,0,1,6,1,0,1,0.15123415549934668,0.02817436155548241,0,32,4.421
33,compound-34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.27599999999998,1.1849999999999998,75.27000000000001,4,0,16,1,2,3,0.3276318689614549,0.2768228775012217,0,90,3.423
34,compound-35,Clc1cccc(Cl)c1,147.00400000000002,2.9934000000000003,0.0,0,1,8,1,0,0,0.0842889078864603,0.0420299105976315,0,42,4.263
35,compound-36,C=C[C@H](O)CCC,100.161,1.3334,20.23,3,0,7,0,1,1,0.3890608211861144,0.0717744186534131,0,42,3.518
36,compound-37,O=C(c1ccccc1)c1ccncc1,183.21,2.3125999999999998,29.96,2,2,14,2,0,2,0.28861394088842635,0.19263196287958229,0,68,3.25
37,compound-38,Oc1ccc(Oc2ccc(O)cc2)cc1,202.209,2.8901000000000003,49.69,2,2,15,2,2,3,0.507962228738608,0.12719893812079017,0,76,4.544
38,compound-39,Oc1c(Br)cc(Br)cc1Br,330.80099999999993,3.6797000000000004,20.23,0,1,10,1,1,1,0.5055801759673582,0.14350221762891874,0,54,4.703
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.239,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,0.32765101857785744,0.27652301806617985,0,88,2.681
40,compound-41,Clc1ccc(Cl)c(Cl)c1,181.449,3.6468000000000007,0.0,0,1,9,1,0,0,0.08428709445773132,0.06066130485936487,0,48,4.783
41,compound-42,C#CCCO,70.091,0.0020000000000000018,20.23,1,0,5,0,1,1,0.3953862519933469,0.05399710822454431,0,28,3.288
42,compound-43,C[C@@H](O)CN,75.11099999999999,-0.6741000000000001,46.25,1,0,5,0,2,2,0.39210324173124944,0.06338427463753628,0,32,1.474
43,compound-44,O=CN(c1ccccc1)c1ccccc1,197.237,2.9811000000000014,20.310000000000002,3,2,15,2,0,1,0.2836563108203374,0.21820736120403242,0,74,3.812
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,250.33900000000003,4.9536,0.0,0,1,11,1,0,0,0.08259779741439219,0.08084510227674689,0,60,6.0
45,compound-46,Oc1c(I)cc(I)cc1I,471.801,3.2060000000000004,20.23,0,1,10,1,1,1,0.505728795260701,0.14178051287856777,0,54,5.591
46,compound-47,CNC(=O)Oc1ccc(C(C)(C)C)cc1,207.27299999999997,2.702300000000001,38.33,1,1,15,1,1,2,0.41183833649595997,0.4103657605456754,0,82,4.317
47,compound-48,CNC(=O)Oc1ccccc1OC(C)C,209.24499999999998,2.192,47.56,3,1,15,1,1,3,0.4870953014626586,0.41197148550607754,0,82,4.376
48,compound-49,C=C(C)C(=O)OC(C)C,128.171,1.5141,26.3,2,0,9,0,0,2,0.45963271591472715,0.33285916443172986,0,52,3.528
49,compound-50,CC(C)=C[C@H]1[C@@H](C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,338.44700000000006,5.1520000000000055,39.44,6,2,25,3,0,3,0.46857681025950976,0.30995797278730447,0,132,7.751
50,compound-51,COc1cccc(O)c1,124.13899999999998,1.4007999999999998,29.46,1,1,9,1,1,2,0.5078231992316957,0.12204628002540475,0,48,3.225
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,184.10699999999997,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,0.5019192577412589,0.3107149538461684,0,68,4.74
52,compound-53,O=[N+]([O-])c1ncccc1O,140.098,0.6954,76.26,1,1,10,1,1,4,0.5009598442723937,0.40542017910359496,0,52,2.924
53,compound-54,O[C@H]1CCCC[C@@H]1c1ccccc1,176.25900000000001,2.7051000000000007,20.23,1,1,13,2,1,1,0.39249398391287305,0.060826296141436344,0,70,3.599
54,compound-55,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,267.111,4.598200000000002,26.3,3,2,17,2,0,2,0.4573021753907061,0.14968570443158713,0,86,5.95
55,compound-56,COC(=O)c1ccc([N+](=O)[O-])cc1,181.147,1.3814,69.44,2,1,13,1,0,4,0.46541747577147446,0.33735001037801154,0,68,3.881
56,compound-57,CCCCCCO,102.177,1.559,20.23,4,0,7,0,1,1,0.39637656934781806,0.04305240583871399,0,44,3.02
57,compound-58,C#C[C@](C)(O)c1ccccc1,146.18899999999996,1.5272999999999999,20.23,1,1,11,1,1,1,0.3736678503462706,0.14740487288961165,0,56,3.112
58,compound-59,CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)OCc1cccc(Oc2ccccc2)c1,391.2940000000001,6.113300000000004,35.53,6,2,26,3,0,3,0.46056326507769046,0.3099576442525119,0,136,7.388
59,compound-60,CC#N,41.053,0.52988,23.79,0,0,3,0,0,1,0.1986584259265234,0.05871482377124906,0,16,1.398
60,compound-61,COc1cccc(C=O)c1O,152.14899999999997,1.2133,46.53,2,1,11,1,1,3,0.5037612132333203,0.16787575901078544,0,58,5.2811
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,261.11899999999997,1.5785200000000001,54.86,2,1,14,1,1,3,0.3283497413377791,0.3101846646430806,0,78,3.148
62,compound-63,NC(=O)c1ccccc1O,137.13799999999998,0.49110000000000004,63.32000000000001,1,1,10,1,2,2,0.5071219157350979,0.25195368365308174,0,52,3.133
63,compound-64,NCc1ccccc1,107.15599999999996,1.1453,26.02,1,1,8,1,1,1,0.32649750661782717,0.017760762946753984,0,42,3.021
64,compound-65,C=C(C)C(=O)OC[C@H]1CCCO1,170.20799999999997,1.2847000000000002,35.53,3,0,12,1,0,3,0.45958982970766243,0.33269807290603554,0,68,3.691
65,compound-66,Cc1ccccc1F,110.13099999999997,2.1341200000000002,0.0,0,1,8,1,0,0,0.20671788482848188,0.12561181746706435,0,42,3.754
66,compound-67,c1ccc2ccccc2c1,128.17399999999998,2.8398000000000003,0.0,0,2,10,2,0,0,0.06162971144687501,0.018404250672442266,0,48,4.32
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,254.329,4.588900000000004,26.3,3,2,19,2,0,2,0.4573594194821045,0.14968570443151089,0,98,5.837
68,compound-69,CCCCCC=O,100.161,1.7656,17.07,4,0,7,0,0,1,0.303402908155129,0.11949019725434505,0,42,3.758
69,compound-70,Cc1cccnc1,93.12899999999999,1.39002,12.89,0,1,7,1,0,1,0.264459387256486,0.029653003828134863,0,36,2.81
70,compound-71,CCC#N,55.08,0.91998,23.79,0,0,4,0,0,1,0.1983584061194375,0.06183424059086474,0,22,1.559
71,compound-72,CCCOC(C)=O,102.133,0.9595,26.3,2,0,7,0,0,2,0.4658887398426499,0.30212269736284525,0,42,3.231
72,compound-73,BrC[C@@H]1CCCCO1,179.05699999999996,1.9504,9.23,1,0,8,1,0,1,0.3773538352230695,0.0671386811371226,0,48,2.941
73,compound-74,CCCCOc1ccccc1,150.22099999999998,2.8655000000000017,9.23,4,1,11,1,0,1,0.49360201710552515,0.11878518542139087,0,60,4.416
74,compound-75,Cc1cccc(C)c1,106.16799999999999,2.30344,0.0,0,1,8,1,0,0,0.06174087142677341,0.03976460504894693,0,42,3.821
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,350.591,4.718100000000002,40.58,6,1,18,1,0,5,0.4039620319976707,0.3813559433952989,0,102,6.042
76,compound-77,ClCC(Cl)Cl,133.405,2.0289,0.0,1,0,5,0,0,0,0.12377171147587997,0.12082872501594435,0,32,3.213
77,compound-78,COC(=O)c1ccc(C(=O)OC)c(N)c1,209.20099999999994,0.8420000000000001,78.62,2,1,15,1,1,5,0.46541659611928193,0.3394535503296441,0,80,4.37
78,compound-79,Nc1ccccc1,93.12899999999999,1.2688000000000001,26.02,0,1,7,1,1,1,0.3987288294865909,0.03134759259121862,0,36,2.948
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,139.10999999999999,1.3003999999999998,63.370000000000005,1,1,10,1,1,3,0.5079581647909615,0.26919495601616544,0,52,3.492
80,compound-81,CC1(C)OC[C@@H](CO)O1,132.159,0.13019999999999987,38.69,1,0,9,1,1,3,0.3935803378979399,0.16298118609023357,0,54,0.898
81,compound-82,CCO,46.069,-0.0014000000000000679,20.23,0,0,3,0,1,1,0.3966637147812598,0.040220581749086416,0,20,0.496
82,compound-83,Cc1ccc(C)cc1,106.16799999999999,2.30344,0.0,0,1,8,1,0,0,0.05906257918023874,0.03977419408172198,0,42,4.078
83,compound-84,N#Cc1ccccn1,104.11199999999997,0.9532799999999999,36.68,0,1,8,1,0,2,0.2455722835386355,0.1399318192047749,0,38,2.5884
84,compound-85,NC(=O)C(Cl)Cl,127.958,0.2754,43.09,1,0,6,0,1,1,0.36731760539791636,0.2502258746447246,0,36,2.725
85,compound-86,CC1(C)O[C@]2(C)CC[C@H]1CC2,154.253,2.7441000000000013,9.23,0,0,11,3,0,1,0.3691300164664661,0.06617640341770793,0,64,3.18
86,compound-87,CCCCCC[C@H]1CCC(=O)O1,170.25199999999998,2.6624000000000008,26.3,5,0,12,1,0,2,0.4623451259224647,0.3056979856420554,0,70,3.976
87,compound-88,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,271.443,3.4632000000000005,86.28,2,1,15,1,0,4,0.3129968051844366,0.258212875637636,0,80,6.087
88,compound-89,CC(C)N(CCO)C(C)C,145.24599999999995,1.0975,23.47,4,0,10,0,1,2,0.3950441599672037,0.05581974342872923,0,62,2.859
89,compound-90,O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,215.208,3.387100000000002,52.370000000000005,3,2,16,2,0,3,0.45737573864243347,0.26919597664303707,0,80,4.91
90,compound-91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,230.90900000000002,3.8823999999999996,26.02,0,1,11,1,1,1,0.3962231845761825,0.08374740241054643,0,60,5.932
91,compound-92,Oc1cccc2ccccc12,144.17299999999997,2.5454,20.23,0,2,11,2,1,1,0.5073115174760926,0.12289872819208318,0,54,4.493
92,compound-93,O=Cc1ccccc1,106.12399999999997,1.4990999999999999,17.07,1,1,8,1,0,1,0.2978964116504968,0.14954802883036308,0,40,4.032
93,compound-94,CC(C)O,60.096000000000004,0.3871,20.23,0,0,4,0,1,1,0.3937069016405105,0.04834761180869219,0,26,0.842
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,179.11599999999999,2.4267000000000003,26.02,0,1,12,1,1,1,0.41798679847840786,0.3982338532245834,0,66,3.782
95,compound-96,CCN(CC)c1ccccc1,149.23699999999997,2.532800000000001,3.24,3,1,11,1,0,1,0.3720922269386495,0.03654827716189696,0,60,3.959
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,151.253,1.9139,26.02,0,0,11,4,1,1,0.3250304809663282,0.016184112016620924,0,62,3.782
97,compound-98,CCSCCSCC,150.31199999999998,2.4926000000000004,0.0,5,0,8,0,0,2,0.161436286664089,0.0023433536909533664,0,50,3.397
98,compound-99,CC(C)(C)O,74.12299999999999,0.7772,20.23,0,0,5,0,1,1,0.3907600879079809,0.05632585341065862,0,32,1.063
99,compound-100,Nc1ccccc1Cl,127.57399999999998,1.9222,26.02,0,1,8,1,1,1,0.39752296460843933,0.06349140772126322,0,42,4.347
100,compound-101,CCCN,59.111999999999995,0.3551000000000002,26.02,1,0,4,0,1,1,0.3304839223850739,0.007990568627305067,0,26,2.283
101,compound-102,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,278.291,3.3260000000000014,17.07,3,3,20,3,0,1,0.30863479945214684,0.17051193682808505,0,98,3.715
102,compound-103,O=Cc1cc(Br)cc(Br)c1O,279.915,2.7297000000000002,37.3,1,1,11,1,1,2,0.506015331073557,0.15335194442329003,0,58,5.518
103,compound-104,CC(=O)c1ccc(Cl)cc1Cl,189.04099999999997,3.1960000000000015,17.07,1,1,11,1,0,1,0.29445404073689135,0.1607984744240977,0,58,4.208
104,compound-105,O=[N+]([O-])c1ccc(F)cc1,141.101,1.7338999999999998,43.14,1,1,10,1,0,2,0.2691313510706342,0.25830961550521764,0,52,3.696
105,compound-106,CC#CCO,70.091,0.0020000000000000573,20.23,0,0,5,0,1,1,0.38365598657070926,0.1037192439899468,0,28,3.841
106,compound-107,COc1cccc(C=O)c1O,152.14899999999997,1.2133,46.53,2,1,11,1,1,3,0.5037612132333203,0.16787575901078544,0,58,4.801
107,compound-108,COc1cc(Cl)c(Cl)cc1O,193.02900000000002,2.7076000000000007,29.46,1,1,11,1,1,2,0.504217836761118,0.16157036751704518,0,60,4.635
108,compound-109,CCCCCC(=O)OCC,144.214,2.1298000000000004,26.3,5,0,10,0,0,2,0.4659692078832712,0.3052674242159281,0,60,4.21
109,compound-110,Cc1cc(Cl)nc(N)n1,143.57700000000003,1.0206199999999999,51.8,0,1,9,1,1,3,0.36774118674949685,0.22114096906466013,0,48,3.008
110,compound-111,CCCC=O,72.107,0.9854,17.07,2,0,5,0,0,1,0.3034030972577946,0.11947978113414225,0,30,3.69
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,200.26299999999995,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,0.28866797995333127,0.2376939348342289,0,72,1.647
112,compound-113,CN(C)c1ccccn1,122.17099999999999,1.1476,16.130000000000003,1,1,9,1,0,2,0.3627476496611739,0.1274384253816817,0,48,2.983
113,compound-114,c1ccc2occc2c1,118.13499999999996,2.4328000000000003,13.14,0,2,9,2,0,1,0.4643529208477263,0.13334457655224913,0,44,3.924
114,compound-115,ClCCN1CCCC1,133.622,1.321,3.24,2,0,8,1,0,1,0.3021528901724848,0.03506704312278422,0,48,2.941
115,compound-116,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],183.123,1.0852,112.30000000000001,2,1,13,1,1,5,0.3931603244404849,0.2984773997123301,0,68,4.092
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,263.378,1.7163999999999995,40.160000000000004,12,0,18,0,0,5,0.35157946180514404,0.16956595101292554,0,110,2.618
117,compound-118,Cc1cc(O)ccc1Cl,142.585,2.3540200000000002,20.23,0,1,9,1,1,1,0.5079547579712229,0.11544483389341331,0,48,4.416
118,compound-119,N#Cc1cc(I)c(O)c(I)c1,370.91499999999996,2.4730799999999995,44.019999999999996,0,1,11,1,1,2,0.505728532200967,0.14179687749407677,0,56,4.737
119,compound-120,CCCCBr,137.02,2.1814,0.0,2,0,5,0,0,0,0.09280798507522109,0.0031152227076761407,0,32,3.572
120,compound-121,O=Cc1ccccc1F,124.11399999999998,1.6382,17.07,1,1,9,1,0,1,0.2977814830392608,0.15249419695757616,0,46,4.964
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,323.31000000000006,3.645100000000002,61.599999999999994,6,2,21,2,0,5,0.4401806966346331,0.26919561009211834,0,110,6.613
122,compound-123,Cc1cc(C)c(O)c(C)c1,136.194,2.3174600000000005,20.23,0,1,10,1,1,1,0.507407026806241,0.12090358579718545,0,54,4.02
123,compound-124,Nc1c(F)c(F)c(F)c(F)c1F,183.07899999999998,1.9643000000000002,26.02,0,1,12,1,1,1,0.39378643223486753,0.2001886813011719,0,66,3.693
124,compound-125,C[C@H](Cl)CCl,112.987,1.8525,0.0,1,0,5,0,0,0,0.12512511403767518,0.04427922350067608,0,32,2.951
125,compound-126,O=Cc1ccccc1[N+](=O)[O-],151.12099999999998,1.4073,60.209999999999994,2,1,11,1,0,3,0.29761822185489145,0.2793780293509298,0,56,4.021
126,compound-127,CCCCCOCCCCC,158.28499999999997,3.3834000000000026,9.23,8,0,11,0,0,1,0.38145245175644565,0.046553223985613824,0,68,4.703
127,compound-128,Cl[C@@H]1CCCC[C@H]1Cl,153.05200000000002,2.7752000000000008,0.0,0,0,8,1,0,0,0.12140078171490791,0.049928343982320676,0,48,3.92
128,compound-129,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,308.36100000000005,3.1003000000000016,44.760000000000005,7,1,18,1,0,5,0.4241282066165725,0.3800444839234029,0,102,3.854
129,compound-130,CCc1ccc(N)cc1,121.18299999999999,1.8312,26.02,1,1,9,1,1,1,0.3987285623758841,0.031367595226238484,0,48,3.22
130,compound-131,Clc1ccccc1Cl,147.00400000000002,2.9934000000000003,0.0,0,1,8,1,0,0,0.08271319546492409,0.059180344278361545,0,42,4.191
131,compound-132,CCCCCCCCBr,193.12799999999996,3.741800000000003,0.0,6,0,9,0,0,0,0.09280780398758344,0.0031253024055150143,0,56,5.363
132,compound-133,CCCCC(C)=O,100.161,1.7656,17.07,3,0,7,0,0,1,0.30003102499487694,0.1293397726031704,0,42,2.37
133,compound-134,CCCCO,74.123,0.7787999999999999,20.23,2,0,5,0,1,1,0.396376752069211,0.043042283485206945,0,32,1.633
134,compound-135,CC(C)C(O)C(C)C,116.20399999999998,1.6593,20.23,2,0,8,0,1,1,0.39259643422498974,0.05855062691322776,0,50,2.854
135,compound-136,ClCCl,84.93299999999999,1.4215,0.0,0,0,3,0,0,0,0.10913232990050524,0.09670639037649198,0,20,2.41
136,compound-137,CC1(C)CCC(C)(C)O1,128.21499999999997,2.354,9.23,0,0,9,1,0,1,0.36970330977106547,0.06343977576910155,0,54,2.883
137,compound-138,C[C@@H](O)CCl,94.541,0.6060000000000001,20.23,1,0,5,0,1,1,0.39217875793250156,0.06469209148539438,0,32,2.586
138,compound-139,C=C(C)C(=O)OCCOCC,158.19699999999997,1.1422,35.53,5,0,11,0,0,3,0.45989916185787766,0.332687275260266,0,64,3.757
139,compound-140,CC(C)(C)c1ccc(O)cc1,150.221,2.689700000000001,20.23,0,1,11,1,1,1,0.5079666394035982,0.11509554258901339,0,60,4.465
140,compound-141,CC(=O)c1ccc(Cl)c(Cl)c1Cl,223.486,3.849400000000001,17.07,1,1,12,1,0,1,0.2944530666610912,0.160853567621954,0,64,5.048
141,compound-142,CCC(C)(O)CC,102.17699999999999,1.5574,20.23,2,0,7,0,1,1,0.3902053852586639,0.06141295148533153,0,44,2.182
142,compound-143,ClC=C(Cl)Cl,131.389,2.5017000000000005,0.0,0,0,5,0,0,0,0.1176031867403948,0.0903590844896965,0,30,3.474
143,compound-144,CCOCC,74.12299999999999,1.0428000000000002,9.23,2,0,5,0,0,1,0.3820258357826421,0.04370841252469281,0,32,1.462
144,compound-145,CCOC(=O)c1ccccc1O,166.176,1.5689,46.53,2,1,12,1,1,3,0.5070527991696192,0.3413977983896268,0,64,3.914
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,233.09799999999998,3.0869000000000018,32.34,1,1,14,1,1,1,0.33065303791790296,0.3208174549548312,0,76,4.215
146,compound-147,C1OCOCO1,90.078,-0.07769999999999999,27.69,0,0,6,1,0,3,0.32919443031030154,0.1519595955787762,0,36,1.18
147,compound-148,ClC(Cl)C(Cl)Cl,167.85,2.5938000000000008,0.0,1,0,6,0,0,0,0.13734361253139798,0.10236499019348498,0,38,3.917
148,compound-149,CNc1ccc(F)cc1,125.14599999999999,1.8673999999999997,12.03,1,1,9,1,1,1,0.3881193177646666,0.12285907096975546,0,48,3.513
149,compound-150,CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,240.21499999999997,2.7221,106.51,4,1,17,1,1,5,0.5018875394209572,0.31736967169438124,0,92,5.652
150,compound-151,O=Cc1ccc(Cl)cc1,140.569,2.1525,17.07,1,1,9,1,0,1,0.29789639727815437,0.14954975902273554,0,46,4.804
151,compound-152,CCCCOC(=O)c1ccccc1C(=O)OCCCC,278.34799999999996,3.600400000000003,52.60000000000001,8,1,20,1,0,4,0.4620783967394106,0.33850596455259063,0,110,5.445
152,compound-153,Cc1ccc(C)c(C)c1,120.19499999999998,2.611860000000001,0.0,0,1,9,1,0,0,0.059043013944034425,0.03950156209354446,0,48,4.192
153,compound-154,CCCCCCCCCCO,158.285,3.1194000000000015,20.23,8,0,11,0,1,1,0.3963765693422825,0.04305240722888907,0,68,4.818
154,compound-155,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,278.348,3.600400000000003,52.60000000000001,8,1,20,1,0,4,0.46209729657029014,0.33761801203461067,0,110,5.674
155,compound-156,CCCCCCOC(C)=O,144.214,2.1298000000000004,26.3,5,0,10,0,0,2,0.46587768667366286,0.30212286792609416,0,60,4.516
156,compound-157,COc1ccc(O)cc1,124.13899999999998,1.4007999999999998,29.46,1,1,9,1,1,2,0.5079622349506875,0.11862884646960266,0,48,3.053
157,compound-158,C/C=C/C=C/C,82.146,2.1386000000000003,0.0,1,0,6,0,0,0,0.08767230365496724,0.04667849643437668,0,34,3.614
158,compound-159,C=CCCCCCCC=C,138.254,3.6990000000000025,0.0,7,0,10,0,0,0,0.10308297893626152,0.03534129163808719,0,58,5.678
159,compound-160,CC/C=C\CCO,100.161,1.335,20.23,3,0,7,0,1,1,0.39605447798452764,0.04650213111483677,0,42,2.42
160,compound-161,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],182.135,1.8114199999999998,86.28,2,1,13,1,0,4,0.2786703841060921,0.25830597628015206,0,68,3.876
161,compound-162,c1cc2c3c(cccc3c1)CC2,154.21199999999996,2.9384000000000015,0.0,0,2,12,3,0,0,0.061354785719633334,0.011957882143257156,0,58,4.95
162,compound-163,C#C[C@@H](C)O,70.091,0.00039999999999995595,20.23,0,0,5,0,1,1,0.38068943106612235,0.1112111588352996,0,28,3.777
163,compound-164,c1ccc(-c2cccc(-c3ccccc3)n2)cc1,231.29799999999997,4.415600000000003,12.89,2,3,18,3,0,1,0.24779805241258024,0.07090104973585164,0,86,6.042
164,compound-165,Nc1ccc(O)c([N+](=O)[O-])c1,154.12499999999997,0.8826,89.39,1,1,11,1,2,4,0.5020908661799127,0.31224792963875364,0,58,3.629
165,compound-166,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,184.10699999999997,1.2086,106.51000000000002,2,1,13,1,1,5,0.5020866322914874,0.3170627212663399,0,68,4.228
166,compound-167,CCCCCCCCC(C)=O,156.269,3.3260000000000023,17.07,7,0,11,0,0,1,0.30003102349469607,0.1293399502822748,0,66,4.51
167,compound-168,C#C[C@](C)(O)CC,98.145,0.7806,20.23,1,0,7,0,1,1,0.37793275253018743,0.12172478089305994,0,40,1.906
