,compound_id,smiles,pLC50,MolLogP,LabuteASA,MolMR,MolWt,ExactMolWt,Chi0v,HeavyAtomMolWt,Chi1v,Chi3v,Kappa1,HeavyAtomCount,Chi1,Chi0,NumValenceElectrons,Chi2v,BCUT2D_LOGPHI,AvgIpc,Chi4v,PEOE_VSA6,toxicity_category,toxicity_numeric
93,Compound 94,CC(C)O,0.842,0.3871,26.263369008818778,17.3548,60.096,60.057514876,3.024563864689584,52.032,1.412899428126413,0.0,3.96,4,1.7320508075688772,3.5773502691896257,26,1.093748048683948,1.645781102895851,0.8112781244591328,0.0,0.0,Practically non-toxic,1
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,21.44,98.96,97.969005488,3.682000400428458,94.928,2.103567451474546,0.6428571428571428,4.58,4,1.914213562373095,3.414213562373095,26,1.1338934190276817,1.7459021149219518,1.3709505944546687,0.0,0.0,Practically non-toxic,1
84,Compound 85,NC(=O)C(Cl)Cl,2.725,0.2754,45.21213839304599,24.6884,127.958,126.959169076,4.3307356668984776,124.934,2.090781755837512,0.6452257149216518,6.05,6,2.6427344100918364,5.154700538379252,36,1.7993300867282502,1.965461473918917,1.3609640474436813,0.0,23.20187978046503,Practically non-toxic,1
207,Compound 208,CCCCCC(C)=O,2.939,2.1557000000000004,51.09042581425295,34.822999999999986,114.188,114.104465068,5.736675415210053,100.07599999999998,3.2647843170117525,1.1323921585058765,7.669999999999999,8,3.770055610029662,6.405777393935816,48,2.159121884309159,1.9755852732576744,1.6646727945202302,0.6239454789453399,19.765380445542643,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,34.95990000000001,121.13899999999995,121.052763844,4.872349905601618,114.08299999999996,2.653482882349704,1.0583068652130645,5.820039011703511,9,4.304530452640311,6.69023444431199,46,1.7302761738955692,1.942031251395361,1.9003726279897948,0.6024192791615889,18.19910120538483,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,34.2415,121.13899999999998,121.052763844,5.164862962722324,114.08299999999998,2.7145388605825462,1.086846812853873,5.947877237851663,9,4.304530452640311,6.69023444431199,46,1.7920749479426683,1.946748281230608,1.9003726279897948,0.586622195880962,0.0,Practically non-toxic,1
116,Compound 117,CCOC(CN(C)CC(OCC)OCC)OCC,2.618,1.7163999999999997,111.33257098881973,71.57700000000007,263.378,263.209658408,12.477547982853949,234.146,6.822102413168867,2.331726372850851,17.8,18,8.671763717646721,13.803118619434356,110,3.901694662896226,2.0229288159869103,2.2976630876941497,1.6341101102376268,0.0,Practically non-toxic,1
141,Compound 142,CCC(C)(O)CC,2.182,1.5574,45.35819535200859,31.205799999999986,102.177,102.104465068,5.361427157873052,88.06499999999998,2.844927141309621,1.5233345472033852,6.96,7,3.1213203435596424,5.914213562373095,44,2.204048126139912,2.106455512296915,1.6774212838293645,0.2499999999999999,13.847474399381248,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,34.95990000000001,121.13899999999995,121.052763844,4.872349905601618,114.08299999999996,2.653482882349704,1.0583068652130645,5.820039011703511,9,4.304530452640311,6.69023444431199,46,1.7302761738955692,1.942031251395361,1.9003726279897948,0.6024192791615889,18.19910120538483,Practically non-toxic,1
245,Compound 246,c1ccc(CC2=NCCN2)cc1,2.745,1.2308,72.33052509302233,50.450700000000026,160.22,160.100048384,6.955285285007731,148.12399999999997,4.261178338069598,1.957918176095336,7.345075038728604,12,5.949489742783179,8.22576835024473,62,2.917566608185206,2.009232757935537,2.5883783341970075,1.3545663526844385,30.33183534230805,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,29.091799999999985,100.161,100.088815004,4.5600977706223205,88.06499999999998,3.0746954706748872,1.574695470674887,5.10367816091954,7,3.3938468501173515,5.112884175122364,42,2.2918339472343705,2.157992143546351,1.6856161633204378,1.0810387176187242,19.26246486877803,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
133,Compound 134,CCCCO,1.633,0.7787999999999999,32.62831112321538,21.9938,74.123,74.07316494,3.5685339390596003,64.04299999999999,2.023334547203385,0.5116672736016926,4.960000000000001,5,2.414213562373095,4.121320343559642,32,1.0771601883432524,1.784058004925464,1.4056390622295665,0.1581138830084189,13.344558822616634,Practically non-toxic,1
296,Compound 297,COCCN,2.156,-0.4084999999999998,31.922571183142363,20.9304,75.11099999999999,75.068413908,3.399812122026584,66.039,1.6051717155225391,0.3219752754296894,4.920000000000001,5,2.414213562373095,4.121320343559643,32,0.7814744144215573,1.528623336198865,1.4056390622295665,0.1178511301977579,0.0,Practically non-toxic,1
233,Compound 234,CC(=O)C(C)C,2.0,1.2314,38.36054158545974,25.518999999999988,86.134,86.07316494,4.485598559653489,76.05399999999999,2.147499818205996,0.8130525295851416,5.670000000000001,6,2.6427344100918364,5.154700538379252,36,1.765350948403754,1.890562366258414,1.3609640474436813,0.0,13.847474399381248,Practically non-toxic,1
84,Compound 85,NC(=O)C(Cl)Cl,2.725,0.2754,45.21213839304599,24.6884,127.958,126.959169076,4.3307356668984776,124.934,2.090781755837512,0.6452257149216518,6.05,6,2.6427344100918364,5.154700538379252,36,1.7993300867282502,1.965461473918917,1.3609640474436813,0.0,23.20187978046503,Practically non-toxic,1
192,Compound 193,N#Cc1ccccn1,2.157,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
234,Compound 235,CC(C)CO,1.714,0.6347,32.62831112321538,21.9238,74.123,74.07316494,3.731670645876131,64.04299999999999,1.8791765948599528,0.3651483716701107,4.960000000000001,5,2.270055610029662,4.284457050376173,32,1.5764210359524071,1.830096074710944,1.3787834934861756,0.0,13.847474399381248,Practically non-toxic,1
167,Compound 168,C#C[C@](C)(O)CC,1.906,0.7806,44.35742074386786,29.747799999999987,98.145,98.07316494,4.731670645876131,88.06499999999998,2.322942104124613,0.999393331248492,6.52,7,3.1213203435596424,5.914213562373095,40,1.771745123413978,2.032854184927392,1.6774212838293645,0.1020620726159657,12.844171518546268,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,29.091799999999985,100.161,100.088815004,4.5600977706223205,88.06499999999998,3.0746954706748872,1.574695470674887,5.10367816091954,7,3.3938468501173515,5.112884175122364,42,2.2918339472343705,2.157992143546351,1.6856161633204378,1.0810387176187242,19.26246486877803,Practically non-toxic,1
333,Compound 334,CCNCCO,1.78,-0.4118000000000001,38.17817330682343,25.62949999999999,89.138,89.084063972,4.0685339390596,78.05,2.230441328389933,0.5385800941716262,5.92,6,2.914213562373095,4.82842712474619,38,1.0771601883432524,1.5085330153527927,1.6143308351592656,0.2558336368008463,6.923737199690624,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,28.97399999999999,93.129,93.057849224,4.256614672258461,86.07299999999998,2.260414715350615,0.8094199929348828,4.31260162601626,7,3.393846850117352,5.112884175122364,36,1.5303755341263872,1.876841176840584,1.6856161633204378,0.4481391923352558,6.06636706846161,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,19.9904,78.136,78.013935812,3.632993161855452,72.088,2.949489742783178,0.0,4.150000000000002,4,1.7320508075688772,3.5773502691896257,26,2.224744871391589,1.4708186703193262,0.8112781244591328,0.0,0.0,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,19.9904,78.136,78.013935812,3.632993161855452,72.088,2.949489742783178,0.0,4.150000000000002,4,1.7320508075688772,3.5773502691896257,26,2.224744871391589,1.4708186703193262,0.8112781244591328,0.0,0.0,Practically non-toxic,1
188,Compound 189,Cc1ccc(N)cc1,2.827,1.57722,49.13623593090629,35.59140000000001,107.156,107.073499288,4.886751345948129,98.08399999999996,2.6100423396407315,1.0773502691896262,5.162450142450142,8,3.787693700234704,5.983127663125442,42,1.91068360252296,2.017054971645585,1.769973094021975,0.566452912372591,17.696185628620217,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,19.9904,78.136,78.013935812,3.632993161855452,72.088,2.949489742783178,0.0,4.150000000000002,4,1.7320508075688772,3.5773502691896257,26,2.224744871391589,1.4708186703193262,0.8112781244591328,0.0,0.0,Practically non-toxic,1
196,Compound 197,C#CCN(CC#C)CC#C,2.647,0.1880000000000001,62.4162977887836,42.939000000000014,131.178,131.073499288,5.800584746628479,122.10599999999998,2.8753688736147742,0.9446816720025198,8.64,10,4.846065214951232,7.819990956308912,50,1.7575344779709885,1.8200344941681044,1.8962594154766208,0.5550034329332258,17.761302956566933,Practically non-toxic,1
213,Compound 214,C[C@@H](O)CC(C)(C)O,1.043,0.5282,50.15242910420461,32.59559999999998,118.17599999999996,118.099379688,5.678884241376089,104.06399999999998,2.820957637743903,0.7949466215308498,7.919999999999998,8,3.4165022194363885,6.784457050376173,50,2.865579770972936,2.086413581217108,1.210810026106033,0.7229343982628325,0.0,Practically non-toxic,1
245,Compound 246,c1ccc(CC2=NCCN2)cc1,2.745,1.2308,72.33052509302233,50.450700000000026,160.22,160.100048384,6.955285285007731,148.12399999999997,4.261178338069598,1.957918176095336,7.345075038728604,12,5.949489742783179,8.22576835024473,62,2.917566608185206,2.009232757935537,2.5883783341970075,1.3545663526844385,30.33183534230805,Practically non-toxic,1
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,21.44,98.96,97.969005488,3.682000400428458,94.928,2.103567451474546,0.6428571428571428,4.58,4,1.914213562373095,3.414213562373095,26,1.1338934190276817,1.7459021149219518,1.3709505944546687,0.0,0.0,Practically non-toxic,1
196,Compound 197,C#CCN(CC#C)CC#C,2.647,0.1880000000000001,62.4162977887836,42.939000000000014,131.178,131.073499288,5.800584746628479,122.10599999999998,2.8753688736147742,0.9446816720025198,8.64,10,4.846065214951232,7.819990956308912,50,1.7575344779709885,1.8200344941681044,1.8962594154766208,0.5550034329332258,17.761302956566933,Practically non-toxic,1
24,Compound 25,N#CCCCCC#N,1.75,1.59396,49.34912096275002,29.69399999999999,108.144,108.068748256,4.7228543157461065,100.07999999999998,2.6543203766865053,0.8271601883432526,6.980000000000001,8,3.914213562373095,6.242640687119286,42,1.5233345472033852,1.9525886614724712,1.8088121254443208,0.4081138830084188,0.0,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
288,Compound 289,CC(=O)c1cccn1C,2.895,1.2277,54.10688347034018,35.4175,123.15499999999996,123.068413908,5.587512693532698,114.08299999999998,2.8384852294905096,1.304465314946022,6.075786163522013,9,4.21521405516327,6.8533711511285205,48,2.0605197161611226,1.9825069739806165,2.131502972837911,0.8268509651564151,0.0,Practically non-toxic,1
143,Compound 144,CCOCC,1.462,1.0428000000000002,32.94762260052625,22.166999999999994,74.12299999999999,74.07316494,3.822461852836958,64.04299999999999,1.9915638315627209,0.408248290463863,4.960000000000001,5,2.414213562373095,4.121320343559642,32,0.7814744144215573,1.6400163366950422,1.4056390622295665,0.2041241452319315,0.0,Practically non-toxic,1
78,Compound 79,Nc1ccccc1,2.948,1.2688,42.77129381650968,30.8544,93.129,93.057849224,3.9641016151377535,86.07299999999998,2.1993587371177727,0.7995724914118484,4.18611295681063,7,3.3938468501173515,5.112884175122364,36,1.4106836025229597,1.9538296161006723,1.6856161633204378,0.4530389187988476,18.19910120538483,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,36.3494,173.01300000000003,171.96361026,5.720575684382393,167.97299999999998,2.9518200652716904,1.2193486542725145,5.564589502018842,8,3.787693700234704,5.983127663125442,42,2.316957865188671,2.06604307564022,1.769973094021975,0.6217990958335826,0.0,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,29.091799999999985,100.161,100.088815004,4.5600977706223205,88.06499999999998,3.0746954706748872,1.574695470674887,5.10367816091954,7,3.3938468501173515,5.112884175122364,42,2.2918339472343705,2.157992143546351,1.6856161633204378,1.0810387176187242,19.26246486877803,Practically non-toxic,1
59,Compound 60,CC#N,1.398,0.52988,19.496772823694872,11.287,41.053,41.026549096,1.9472135954999577,38.029,0.7236067977499789,0.0,2.490000000000001,3,1.4142135623730951,2.7071067811865475,16,0.2236067977499789,1.2146152150896592,0.9182958340544896,0.0,0.0,Practically non-toxic,1
28,Compound 29,NC(=O)c1ccccc1N,2.537,0.3676999999999998,58.63764872796276,39.37230000000001,136.154,136.063662876,5.372349905601618,128.08999999999995,2.8588246836111835,1.226249198058896,6.607785630153122,10,4.71521405516327,7.560477932315068,52,1.9515012187605068,2.075878428793568,1.878744528593013,0.7214005796648163,12.13273413692322,Practically non-toxic,1
207,Compound 208,CCCCCC(C)=O,2.939,2.1557000000000004,51.09042581425295,34.822999999999986,114.188,114.104465068,5.736675415210053,100.07599999999998,3.2647843170117525,1.1323921585058765,7.669999999999999,8,3.770055610029662,6.405777393935816,48,2.159121884309159,1.9755852732576744,1.6646727945202302,0.6239454789453399,19.765380445542643,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,34.95990000000001,121.13899999999995,121.052763844,4.872349905601618,114.08299999999996,2.653482882349704,1.0583068652130645,5.820039011703511,9,4.304530452640311,6.69023444431199,46,1.7302761738955692,1.942031251395361,1.9003726279897948,0.6024192791615889,18.19910120538483,Practically non-toxic,1
361,Compound 362,CCc1ccccn1,2.413,1.644,49.38093532923668,33.614999999999995,107.156,107.073499288,4.963721453445009,98.08399999999996,2.831140993871774,1.088385501664051,5.28986013986014,8,3.931851652578136,5.819990956308911,42,1.6746283532071886,1.9086031687223064,1.903491193316404,0.6072627807490609,12.990104268152232,Practically non-toxic,1
236,Compound 237,OC1CCCCC1,2.153,1.3114,44.35236419847938,29.091799999999985,100.161,100.088815004,4.5600977706223205,88.06499999999998,3.0746954706748872,1.574695470674887,5.10367816091954,7,3.3938468501173515,5.112884175122364,42,2.2918339472343705,2.157992143546351,1.6856161633204378,1.0810387176187242,19.26246486877803,Practically non-toxic,1
271,Compound 272,CCC(=O)CC,1.747,1.3755,38.36054158545974,25.588999999999988,86.134,86.07316494,4.322461852836958,76.05399999999999,2.325444488791574,0.7886751345948129,5.670000000000001,6,2.808060412490447,4.99156383156272,36,1.2457819157813603,1.8249499239166256,1.650022421648354,0.2499999999999999,13.847474399381248,Practically non-toxic,1
178,Compound 179,N#Cc1ccccn1,2.04915,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,17.689999999999998,74.079,74.036779432,3.3164965809277263,68.03099999999999,1.3164965809277265,0.2874574785652649,4.469999999999999,5,2.270055610029662,4.284457050376173,30,0.695705769029128,1.598586265572994,1.3787834934861756,0.0,0.0,Practically non-toxic,1
188,Compound 189,Cc1ccc(N)cc1,2.827,1.57722,49.13623593090629,35.59140000000001,107.156,107.073499288,4.886751345948129,98.08399999999996,2.6100423396407315,1.0773502691896262,5.162450142450142,8,3.787693700234704,5.983127663125442,42,1.91068360252296,2.017054971645585,1.769973094021975,0.566452912372591,17.696185628620217,Practically non-toxic,1
135,Compound 136,ClCCl,2.41,1.4215,29.3457834815929,16.573,84.93299999999999,83.953355424,2.974893619241911,82.917,1.6035674514745462,0.0,3.58,3,1.4142135623730951,2.7071067811865475,20,0.9091372900969896,1.7266753099347356,0.9182958340544896,0.0,0.0,Practically non-toxic,1
307,Compound 308,CC(=O)OC(C)(C)C,2.551,1.348,49.83902892936323,31.518999999999984,116.15999999999998,116.083729624,5.816496580927726,104.06399999999998,2.6123724356957947,0.4499149571305297,7.470000000000001,8,3.4165022194363885,6.784457050376173,48,2.7060161321089566,2.050470457988943,1.210810026106033,0.4311862178478973,0.0,Practically non-toxic,1
355,Compound 356,CC(C)OC(C)C,2.114,1.8198,45.67750682931947,31.35699999999997,102.17699999999998,102.104465068,5.562948828843115,88.06499999999998,2.7808055975495347,0.5443310539518176,6.96,7,3.1258976576862287,5.861807319565799,44,2.2335923434492697,1.9267050351083743,1.2729055953200563,0.5443310539518176,0.0,Practically non-toxic,1
136,Compound 137,CC1(C)CCC(C)(C)O1,2.883,2.354,57.40155990458345,38.477,128.21499999999995,128.120115132,6.822461852836958,112.08699999999996,3.61535507165041,1.881710002993201,7.071607142857144,9,3.914213562373096,7.121320343559643,54,4.1214473505116,2.3579498175748745,1.7778449097074795,1.4520786065985904,0.0,Practically non-toxic,1
194,Compound 195,CC/C=C/CCO,2.568,1.335,44.66859231982434,31.133799999999987,100.161,100.088815004,4.723234477438852,88.06499999999998,2.673164461464445,0.6981350386024298,6.7,7,3.414213562373095,5.535533905932738,42,1.3919347435996867,1.8195957811904453,1.690933805959686,0.3590533961144175,19.075777413358388,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,36.3494,173.01300000000003,171.96361026,5.720575684382393,167.97299999999998,2.9518200652716904,1.2193486542725145,5.564589502018842,8,3.787693700234704,5.983127663125442,42,2.316957865188671,2.06604307564022,1.769973094021975,0.6217990958335826,0.0,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,34.95990000000001,121.13899999999995,121.052763844,4.872349905601618,114.08299999999996,2.653482882349704,1.0583068652130645,5.820039011703511,9,4.304530452640311,6.69023444431199,46,1.7302761738955692,1.942031251395361,1.9003726279897948,0.6024192791615889,18.19910120538483,Practically non-toxic,1
17,Compound 18,Cc1cc(C)c(C#N)c(O)n1,2.975,1.27572,64.93269087729801,40.09080000000002,148.165,148.063662876,6.4189910556895,140.10099999999997,3.221777460189542,1.4373962253519563,7.545932203389831,11,5.147065707741407,8.430721420318147,56,2.390945241907956,2.167490557398426,1.8527294775352927,0.9552500349889292,0.0,Practically non-toxic,1
210,Compound 211,Oc1cccnc1Cl,2.319,1.4406,51.74855107952116,30.911799999999992,129.546,128.998141428,4.760371417596475,125.514,2.47770099602244,1.0306168849827766,5.378121546961326,8,3.804530452640311,5.983127663125442,42,1.67135084086655,2.1642019057317907,1.7681772153059907,0.4968894233656787,11.600939890232516,Practically non-toxic,1
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,36.3494,173.01300000000003,171.96361026,5.720575684382393,167.97299999999998,2.9518200652716904,1.2193486542725145,5.564589502018842,8,3.787693700234704,5.983127663125442,42,2.316957865188671,2.06604307564022,1.769973094021975,0.6217990958335826,0.0,Practically non-toxic,1
210,Compound 211,Oc1cccnc1Cl,2.319,1.4406,51.74855107952116,30.911799999999992,129.546,128.998141428,4.760371417596475,125.514,2.47770099602244,1.0306168849827766,5.378121546961326,8,3.804530452640311,5.983127663125442,42,1.67135084086655,2.1642019057317907,1.7681772153059907,0.4968894233656787,11.600939890232516,Practically non-toxic,1
244,Compound 245,C1CCOC1,1.523,0.7968000000000001,31.941791446997023,20.053,72.107,72.057514876,3.236675415210053,64.04299999999999,2.0773502691896257,0.8273502691896256,3.1616129032258065,5,2.5,3.5355339059327378,30,1.319479216882342,1.9782597734636087,1.760495029766198,0.5103103630798287,0.0,Practically non-toxic,1
78,Compound 79,Nc1ccccc1,2.948,1.2688,42.77129381650968,30.8544,93.129,93.057849224,3.9641016151377535,86.07299999999998,2.1993587371177727,0.7995724914118484,4.18611295681063,7,3.3938468501173515,5.112884175122364,36,1.4106836025229597,1.9538296161006723,1.6856161633204378,0.4530389187988476,18.19910120538483,Practically non-toxic,1
178,Compound 179,N#Cc1ccccn1,2.04915,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
134,Compound 135,CC(C)C(O)C(C)C,2.854,1.6593,51.723137466405205,35.68279999999999,116.20399999999998,116.120115132,6.179264403068836,100.07599999999998,3.234266633172331,1.366085152919445,7.96,8,3.553418012614795,6.732050807568877,50,2.978626358442433,2.0960218859019646,1.6403360647604437,0.7698003589195014,27.694948798762496,Practically non-toxic,1
289,Compound 290,CCCCN,2.437,0.7452000000000001,33.17396806803209,23.96239999999999,73.139,73.08914935199999,3.698670612749268,62.05099999999999,2.11535507165041,0.5576775358252052,4.960000000000001,5,2.414213562373095,4.121320343559642,32,1.1422285251880866,1.765338151415475,1.4056390622295665,0.2041241452319314,13.344558822616634,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,19.9904,78.136,78.013935812,3.632993161855452,72.088,2.949489742783178,0.0,4.150000000000002,4,1.7320508075688772,3.5773502691896257,26,2.224744871391589,1.4708186703193262,0.8112781244591328,0.0,0.0,Practically non-toxic,1
59,Compound 60,CC#N,1.398,0.52988,19.496772823694872,11.287,41.053,41.026549096,1.9472135954999577,38.029,0.7236067977499789,0.0,2.490000000000001,3,1.4142135623730951,2.7071067811865475,16,0.2236067977499789,1.2146152150896592,0.9182958340544896,0.0,0.0,Practically non-toxic,1
191,Compound 192,C1COCCO1,0.932,0.0332,37.05533667650391,21.637999999999995,88.106,88.052429496,3.644923705673916,80.042,2.1547005383792515,0.7440169358562924,4.088918918918919,6,3.0,4.242640687119286,36,1.224744871391589,1.8459039112320408,1.719973094021975,0.4398264056274473,0.0,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,28.97399999999999,93.129,93.057849224,4.256614672258461,86.07299999999998,2.260414715350615,0.8094199929348828,4.31260162601626,7,3.393846850117352,5.112884175122364,36,1.5303755341263872,1.876841176840584,1.6856161633204378,0.4481391923352558,6.06636706846161,Practically non-toxic,1
280,Compound 281,C#C[C@@](C)(O)C(C)C,2.738,1.0266,50.72236285826448,34.294799999999995,112.17199999999998,112.088815004,5.601914133879209,100.07599999999998,2.7056576053188564,1.41644491659913,7.519999999999999,8,3.504035844753885,6.784457050376174,46,2.446560449067426,2.1263142144148013,1.6668127273868607,0.1666666666666667,19.76790871823689,Practically non-toxic,1
307,Compound 308,CC(=O)OC(C)(C)C,2.551,1.348,49.83902892936323,31.518999999999984,116.15999999999998,116.083729624,5.816496580927726,104.06399999999998,2.6123724356957947,0.4499149571305297,7.470000000000001,8,3.4165022194363885,6.784457050376173,48,2.7060161321089566,2.050470457988943,1.210810026106033,0.4311862178478973,0.0,Practically non-toxic,1
373,Compound 374,OCC(F)(F)F,2.924,0.5409999999999999,32.39503310320087,13.1408,100.039,100.013599376,2.788213795714187,97.015,1.2367278661239527,0.179284291400159,5.75,6,2.5606601717798214,5.207106781186548,38,0.7732914601627696,2.106937839632056,1.3516441151533924,0.0,0.0,Practically non-toxic,1
241,Compound 242,CS(C)=O,0.362,-0.0052999999999999,28.47844734580207,19.9904,78.136,78.013935812,3.632993161855452,72.088,2.949489742783178,0.0,4.150000000000002,4,1.7320508075688772,3.5773502691896257,26,2.224744871391589,1.4708186703193262,0.8112781244591328,0.0,0.0,Practically non-toxic,1
